model,tag,x,y,pred_mean,pred_std,lower_95,upper_95
dist_auto_full_xmat_matern12,a,0.0,0.465724,0.47130627369134714,0.0023728368488902057,0.46665559892633285,0.47595694845636144
dist_auto_full_xmat_matern12,a,0.2,0.466861,0.47135632692953716,0.0024087623989797772,0.4666352393802225,0.4760774144788518
dist_auto_full_xmat_matern12,a,0.2,0.466057,0.47101689087781595,0.002319062086589394,0.46647161271018844,0.47556216904544346
dist_auto_full_xmat_matern12,a,0.4,0.468116,0.4715494206338495,0.0026872967347134455,0.4662824158180391,0.47681642544965996
dist_auto_full_xmat_matern12,a,0.4,0.467146,0.47112138910949014,0.002398842723798461,0.4664197437662692,0.47582303445271107
dist_auto_full_xmat_matern12,a,0.4,0.465839,0.47078663044346586,0.0023714990898939924,0.4661385776379041,0.4754346832490276
dist_auto_full_xmat_matern12,a,0.6,0.469295,0.4722522492424585,0.0023793761840580356,0.4675887576160324,0.4769157408688846
dist_auto_full_xmat_matern12,a,0.6,0.468236,0.4716453375569301,0.002301037319474974,0.4671353872836766,0.4761552878301836
dist_auto_full_xmat_matern12,a,0.6,0.467101,0.4709675486254691,0.0026045168441627973,0.46586278941378206,0.4760723078371561
dist_auto_full_xmat_matern12,a,0.6,0.466217,0.47062088223903237,0.002471104096727651,0.4657776072073968,0.47546415727066793
dist_auto_full_xmat_matern12,a,0.8,0.470466,0.4732123115110727,0.00230128863412904,0.4687018686701484,0.47772275435199696
dist_auto_full_xmat_matern12,a,0.8,0.469381,0.47250105612974547,0.0022335752666752216,0.4681233290503026,0.47687878320918836
dist_auto_full_xmat_matern12,a,0.8,0.468414,0.47149176807353516,0.0022910362909592846,0.4670014194559807,0.4759821166910896
dist_auto_full_xmat_matern12,a,0.8,0.467748,0.470784468271652,0.0023548746023577586,0.4661689988629227,0.4753999376803813
dist_auto_full_xmat_matern12,a,0.8,0.467487,0.4704686647152097,0.0026410786362296317,0.4652922457078615,0.4756450837225579
dist_auto_full_xmat_matern12,a,1.0,0.471703,0.4739191511243198,0.002313703616466874,0.46938437536514466,0.478453926883495
dist_auto_full_xmat_matern12,a,1.0,0.470628,0.47323609788636517,0.002233125984430042,0.46885925138394174,0.4776129443887886
dist_auto_full_xmat_matern12,a,1.0,0.469695,0.4723463469184711,0.0022147413067907084,0.46800553372208814,0.47668716011485407
dist_auto_full_xmat_matern12,a,1.0,0.469032,0.4714478813855413,0.0022198190017118234,0.46709711608998844,0.4757986466810941
dist_auto_full_xmat_matern12,a,1.0,0.468706,0.47067155717497694,0.0022955327297227,0.4661723956993875,0.47517071865056637
dist_auto_full_xmat_matern12,a,1.0,0.468784,0.4703195291830179,0.0024136672921851866,0.4655888282196726,0.47505023014636316
dist_auto_full_xmat_matern12,a,1.2,0.473035,0.4745509755221781,0.002364550474009164,0.46991654175349307,0.4791854092908632
dist_auto_full_xmat_matern12,a,1.2,0.471969,0.4739478397999494,0.0022641292235487573,0.46951022806544923,0.4783854515344496
dist_auto_full_xmat_matern12,a,1.2,0.470924,0.47303423427135255,0.0022294137993284532,0.46866466351803215,0.47740380502467294
dist_auto_full_xmat_matern12,a,1.2,0.470091,0.47201339943111825,0.002220720215995831,0.4676608677880264,0.4763659310742101
dist_auto_full_xmat_matern12,a,1.2,0.469594,0.47110103177035184,0.0022259673819187784,0.4667382158710301,0.4754638476696736
dist_auto_full_xmat_matern12,a,1.2,0.469333,0.47046643018824547,0.0022439269696180922,0.4660684141438559,0.474864446232635
dist_auto_full_xmat_matern12,a,1.2,0.469293,0.4702579496549157,0.0023515533967187916,0.46564898968962404,0.47486690962020733
dist_auto_full_xmat_matern12,a,1.4,0.474378,0.4754993610412343,0.002427120386265914,0.47074229249801014,0.48025642958445847
dist_auto_full_xmat_matern12,a,1.4,0.473376,0.4745296770702012,0.00233053295801795,0.46996191640770246,0.47909743773269997
dist_auto_full_xmat_matern12,a,1.4,0.472188,0.4736525714672655,0.0022728218366308995,0.4691979225241928,0.47810722041033826
dist_auto_full_xmat_matern12,a,1.4,0.471078,0.472578322970098,0.0022475053407288673,0.468173293447208,0.476983352492988
dist_auto_full_xmat_matern12,a,1.4,0.470101,0.47154672944844206,0.0022399581845318614,0.4671564920798839,0.4759369668170002
dist_auto_full_xmat_matern12,a,1.4,0.469424,0.470772334278657,0.0022454831958757756,0.4663712680868506,0.4751734004704634
dist_auto_full_xmat_matern12,a,1.4,0.46911,0.4703635235502762,0.0022638857738897984,0.4659263889683396,0.47480065813221284
dist_auto_full_xmat_matern12,a,1.4,0.469337,0.4702892980576699,0.0023032794817046134,0.46577495322719875,0.47480364288814103
dist_auto_full_xmat_matern12,a,1.6,0.475716,0.4772256414210189,0.0025426531264881778,0.47224213286792394,0.4822091499741139
dist_auto_full_xmat_matern12,a,1.6,0.474912,0.47595527825568235,0.0025566833694521856,0.47094427093168356,0.48096628557968113
dist_auto_full_xmat_matern12,a,1.6,0.473613,0.47459104568973265,0.0023874764757523615,0.4699116777833214,0.4792704135961439
dist_auto_full_xmat_matern12,a,1.6,0.471954,0.4730672318892572,0.002304880696571767,0.46854974873531496,0.47758471504319944
dist_auto_full_xmat_matern12,a,1.6,0.470301,0.47198931765408,0.00228043492736256,0.4675197473273621,0.47645888798079783
dist_auto_full_xmat_matern12,a,1.6,0.469216,0.4711234512226838,0.0022743116095795867,0.4666658823782865,0.4755810200670811
dist_auto_full_xmat_matern12,a,1.6,0.468893,0.4706064092781964,0.002281660463894642,0.46613443694401396,0.47507838161237886
dist_auto_full_xmat_matern12,a,1.6,0.469162,0.4704418297322794,0.00230248749354381,0.4659290371700796,0.47495462229447916
dist_auto_full_xmat_matern12,a,1.6,0.470074,0.4704883627059333,0.002352142064974139,0.4658782489720623,0.4750984764398043
dist_auto_full_xmat_matern12,a,1.8,0.477043,0.4775513648061927,0.0025583325814201607,0.4725371250861338,0.4825656045262516
dist_auto_full_xmat_matern12,a,1.8,0.476539,0.47695218637547876,0.002474013179063533,0.4721032096472368,0.48180116310372073
dist_auto_full_xmat_matern12,a,1.8,0.474919,0.4759615545545119,0.0024431964767231366,0.47117297745297937,0.4807501316560444
dist_auto_full_xmat_matern12,a,1.8,0.472657,0.47438500013716184,0.002623819055431445,0.4692424092865663,0.4795275909877574
dist_auto_full_xmat_matern12,a,1.8,0.470523,0.472799970030075,0.002451926535815555,0.46799428232713847,0.47760565773301156
dist_auto_full_xmat_matern12,a,1.8,0.469212,0.47147752314648084,0.0023345234024026666,0.4669019413567057,0.47605310493625597
dist_auto_full_xmat_matern12,a,1.8,0.468967,0.4708842375269552,0.0023323828576811154,0.46631285112774157,0.4754556239261688
dist_auto_full_xmat_matern12,a,1.8,0.469506,0.47062856532144376,0.0023423322180212993,0.4660376785342942,0.47521945210859334
dist_auto_full_xmat_matern12,a,1.8,0.470553,0.4706076746435953,0.0023715738892114693,0.4659594752340653,0.47525587405312536
dist_auto_full_xmat_matern12,a,1.8,0.471751,0.47061666358962906,0.0024543250883541008,0.46580627481010195,0.47542705236915617
dist_auto_full_xmat_matern12,b,0.0,0.424019,0.47183614824744025,0.0038975324797615183,0.4641971249585326,0.4794751715363479
dist_auto_full_xmat_matern12,b,0.2,0.430974,0.4719206402816746,0.0038890340910666767,0.4642982735285354,0.47954300703481373
dist_auto_full_xmat_matern12,b,0.2,0.43049,0.4718450126156253,0.003818045466069794,0.46436178101079206,0.4793282442204585
dist_auto_full_xmat_matern12,b,0.4,0.440313,0.47194145520091185,0.0038924723190480225,0.46431234964475865,0.47957056075706506
dist_auto_full_xmat_matern12,b,0.4,0.441443,0.4718647004506147,0.003848783913789135,0.4643212225953109,0.4794081783059185
dist_auto_full_xmat_matern12,b,0.4,0.444153,0.4717619727701804,0.003860596209312457,0.46419534324107614,0.47932860229928465
dist_auto_full_xmat_matern12,b,0.6,0.449675,0.4719444130898123,0.003909962027713388,0.46428102833457485,0.4796077978450497
dist_auto_full_xmat_matern12,b,0.6,0.451934,0.47186355730898905,0.003917113559539456,0.46418615580893824,0.47954095880903985
dist_auto_full_xmat_matern12,b,0.6,0.454844,0.47166917577952955,0.004030035888768699,0.463770450581139,0.47956790097792007
dist_auto_full_xmat_matern12,b,0.6,0.458028,0.47143624985618776,0.004305881027836829,0.46299687811991325,0.4798756215924623
dist_auto_full_xmat_matern12,b,0.8,0.456695,0.47191612997433335,0.0039630824386145515,0.46414863112688565,0.47968362882178106
dist_auto_full_xmat_matern12,b,0.8,0.460236,0.47177564597312005,0.004056119164246097,0.463825798494195,0.4797254934520451
dist_auto_full_xmat_matern12,b,0.8,0.464017,0.47150513201112654,0.004358675827737789,0.46296228436847514,0.48004797965377793
dist_auto_full_xmat_matern12,b,0.8,0.467235,0.4710985195580523,0.0050782232404061765,0.46114538490140194,0.4810516542147027
dist_auto_full_xmat_matern12,b,0.8,0.469085,0.47091209373969894,0.005893190155128192,0.45936165328160167,0.4824625341977962
dist_auto_full_xmat_matern12,b,1.0,0.460684,0.47186194175214546,0.004045622715217459,0.4639326669352821,0.4797912165690088
dist_auto_full_xmat_matern12,b,1.0,0.465576,0.4716353699665739,0.0042671154257217046,0.46327197741428405,0.47999876251886375
dist_auto_full_xmat_matern12,b,1.0,0.470179,0.47125577770660876,0.0048330554140022935,0.46178316315987794,0.4807283922533396
dist_auto_full_xmat_matern12,b,1.0,0.473687,0.47092727279873453,0.005797543579412276,0.459564296184285,0.48229024941318405
dist_auto_full_xmat_matern12,b,1.0,0.475292,0.47098809373435035,0.005402081490656368,0.4604002085711134,0.4815759788975873
dist_auto_full_xmat_matern12,b,1.0,0.474402,0.4712818813023763,0.004497947643327768,0.46246606591710704,0.48009769668764557
dist_auto_full_xmat_matern12,b,1.2,0.461185,0.4718014050929397,0.004136204260482567,0.46369459370969274,0.4799082164761867
dist_auto_full_xmat_matern12,b,1.2,0.466826,0.4715431050502562,0.004418961653109678,0.46288209936109764,0.48020411073941477
dist_auto_full_xmat_matern12,b,1.2,0.472169,0.47126001132097445,0.004845880123655715,0.46176226080521077,0.48075776183673813
dist_auto_full_xmat_matern12,b,1.2,0.47637,0.4712134414117028,0.004882301275397087,0.46164430675025053,0.48078257607315505
dist_auto_full_xmat_matern12,b,1.2,0.478356,0.47140384148757636,0.004428658013158336,0.46272383128194133,0.4800838516932114
dist_auto_full_xmat_matern12,b,1.2,0.477271,0.471533164348127,0.004049677362784152,0.4635959425680629,0.47947038612819104
dist_auto_full_xmat_matern12,b,1.2,0.473039,0.47158889804447796,0.0038450159278945626,0.46405280530582177,0.47912499078313414
dist_auto_full_xmat_matern12,b,1.4,0.457991,0.47179677740330084,0.004157367112738289,0.46364848759182253,0.47994506721477914
dist_auto_full_xmat_matern12,b,1.4,0.463982,0.47162533773733784,0.004316183232331483,0.46316577405129244,0.4800849014233832
dist_auto_full_xmat_matern12,b,1.4,0.470076,0.4715411520223953,0.004372236501847176,0.46297172594688346,0.4801105780979072
dist_auto_full_xmat_matern12,b,1.4,0.475266,0.47159496358272185,0.004218176259302313,0.46332749003404744,0.47986243713139626
dist_auto_full_xmat_matern12,b,1.4,0.478035,0.4716871574843731,0.003996512786038039,0.46385413635998474,0.4795201786087615
dist_auto_full_xmat_matern12,b,1.4,0.477283,0.4717287290789905,0.0038348361931515203,0.46421258825380285,0.47924486990417814
dist_auto_full_xmat_matern12,b,1.4,0.472693,0.4716623189755868,0.0037543806117279446,0.4643038681923446,0.479020769758829
dist_auto_full_xmat_matern12,b,1.4,0.464837,0.47159133765629785,0.003757874869979849,0.46422603825272923,0.47895663705986646
dist_auto_full_xmat_matern12,b,1.6,0.452425,0.47186174954816684,0.0040797616930627134,0.4638655635642578,0.4798579355320759
dist_auto_full_xmat_matern12,b,1.6,0.458369,0.4718048035791037,0.004091853277708123,0.4637849185247736,0.4798246886334338
dist_auto_full_xmat_matern12,b,1.6,0.465084,0.47179452737395894,0.004030134800344514,0.46389560831244214,0.47969344643547573
dist_auto_full_xmat_matern12,b,1.6,0.471232,0.4718184965562511,0.003916470542471074,0.4641423553464957,0.4794946377660064
dist_auto_full_xmat_matern12,b,1.6,0.47495,0.47183414533949414,0.003804514793055698,0.4643774333664551,0.4792908573125332
dist_auto_full_xmat_matern12,b,1.6,0.47483,0.47180885557399255,0.0037415462138285687,0.4644755597483963,0.47914215139958877
dist_auto_full_xmat_matern12,b,1.6,0.470344,0.47174612430647656,0.003726895071385293,0.4644415441924015,0.4790507044205516
dist_auto_full_xmat_matern12,b,1.6,0.462079,0.4716062908686214,0.0037679608689076176,0.4642212232704062,0.47899135846683655
dist_auto_full_xmat_matern12,b,1.6,0.451606,0.4714902356273632,0.0038710618568742455,0.46390309380596295,0.47907737744876344
dist_auto_full_xmat_matern12,b,1.8,0.445973,0.4719691400975907,0.003969883024318693,0.4641883123470891,0.4797499678480923
dist_auto_full_xmat_matern12,b,1.8,0.451814,0.4719407263625126,0.003922020895465165,0.46425370666078736,0.47962774606423786
dist_auto_full_xmat_matern12,b,1.8,0.458982,0.47194672631062257,0.0038490068121986264,0.46440281158246394,0.4794906410387812
dist_auto_full_xmat_matern12,b,1.8,0.465749,0.4719347591211639,0.003776513374490825,0.46453292892002807,0.4793365893222997
dist_auto_full_xmat_matern12,b,1.8,0.470264,0.47190229660130334,0.0037252311363823462,0.4646009777399067,0.47920361546269996
dist_auto_full_xmat_matern12,b,1.8,0.470852,0.47184937911272457,0.0037011681704441097,0.4645952227979281,0.47910353542752104
dist_auto_full_xmat_matern12,b,1.8,0.466868,0.47176527338214347,0.003724346306905565,0.4644656887546538,0.4790648580096331
dist_auto_full_xmat_matern12,b,1.8,0.459066,0.4716627205670339,0.0037814417750953832,0.46425123087821174,0.47907421025585606
dist_auto_full_xmat_matern12,b,1.8,0.448452,0.4715085353432982,0.003870721855475672,0.4639220599123938,0.4790950107742025
dist_auto_full_xmat_matern12,b,1.8,0.436142,0.4713994410301463,0.003980115542894248,0.4635985579117655,0.4792003241485271
dist_auto_full_xmat_matern12,10,0.0,0.47151,0.46993690044622816,0.001537865296548299,0.46692273985191945,0.47295106104053686
dist_auto_full_xmat_matern12,10,0.2,0.471149,0.46973932452325573,0.001556151862359288,0.4666893229185566,0.4727893261279549
dist_auto_full_xmat_matern12,10,0.2,0.470703,0.4695772530456125,0.0014950802089073543,0.4666469496821555,0.4725075564090695
dist_auto_full_xmat_matern12,10,0.4,0.47122,0.470101251030708,0.001718591650819033,0.46673287329097146,0.4734696287704445
dist_auto_full_xmat_matern12,10,0.4,0.470611,0.4695467646226901,0.0015631017734985618,0.4664831414424623,0.472610387802918
dist_auto_full_xmat_matern12,10,0.4,0.470287,0.4693774300643049,0.0015444855276422933,0.4663502940554826,0.47240456607312714
dist_auto_full_xmat_matern12,10,0.6,0.471691,0.4709031451777474,0.0015957889751627302,0.46777545625950234,0.47403083409599245
dist_auto_full_xmat_matern12,10,0.6,0.470861,0.4702904935418302,0.0016757601974708336,0.46700606390806165,0.4735749231755988
dist_auto_full_xmat_matern12,10,0.6,0.470361,0.4699301096081711,0.0016946936830451466,0.4666085710245751,0.4732516481917671
dist_auto_full_xmat_matern12,10,0.6,0.470258,0.46944121444736103,0.0016012355009702396,0.4663028505346924,0.4725795783600297
dist_auto_full_xmat_matern12,10,0.8,0.472491,0.4720721940685475,0.0014997013133965442,0.46913283350672286,0.47501155463037215
dist_auto_full_xmat_matern12,10,0.8,0.471477,0.4713685429729091,0.001471612541029423,0.4684842353932939,0.47425285055252425
dist_auto_full_xmat_matern12,10,0.8,0.470757,0.4705304456225428,0.0015630151794992638,0.46746699216343485,0.4735938990816508
dist_auto_full_xmat_matern12,10,0.8,0.47038,0.47016955661307314,0.0015849761250480406,0.4670630604916231,0.47327605273452317
dist_auto_full_xmat_matern12,10,0.8,0.47038,0.47004511172552144,0.0017328482133113713,0.46664879163675654,0.47344143181428633
dist_auto_full_xmat_matern12,10,1.0,0.473597,0.47322209167847823,0.0014808668830954093,0.47031964592171316,0.4761245374352433
dist_auto_full_xmat_matern12,10,1.0,0.472489,0.4724771377708419,0.0014490992638923463,0.4696369554035894,0.47531732013809436
dist_auto_full_xmat_matern12,10,1.0,0.471513,0.47159488430158797,0.001455622204917518,0.46874191720485286,0.4744478513983231
dist_auto_full_xmat_matern12,10,1.0,0.47073,0.47081984265849297,0.0014717435867509455,0.46793527823398334,0.4737044070830026
dist_auto_full_xmat_matern12,10,1.0,0.470253,0.47019515920580945,0.0016407188158065731,0.46697940941807137,0.47341090899354754
dist_auto_full_xmat_matern12,10,1.0,0.470195,0.4702573804118302,0.001577039381722847,0.4671664400214521,0.4733483208022083
dist_auto_full_xmat_matern12,10,1.2,0.47499,0.4743932154564625,0.0015189760536248663,0.471416077097979,0.477370353814946
dist_auto_full_xmat_matern12,10,1.2,0.473878,0.4737608810374065,0.0014582007610076408,0.4709028600636026,0.4766189020112104
dist_auto_full_xmat_matern12,10,1.2,0.472636,0.4726828759723217,0.0014508243729172523,0.469839312453511,0.47552643949113244
dist_auto_full_xmat_matern12,10,1.2,0.471377,0.47153904556216886,0.0014496206374563717,0.4686978413215084,0.47438024980282933
dist_auto_full_xmat_matern12,10,1.2,0.470333,0.4705805841421046,0.0014619310868675109,0.46771525186396473,0.4734459164202444
dist_auto_full_xmat_matern12,10,1.2,0.469814,0.4699993647404677,0.0015188855462496666,0.46702240377317994,0.4729763257077555
dist_auto_full_xmat_matern12,10,1.2,0.47004,0.47019910714894025,0.0015952223191968151,0.46707252885598005,0.47332568544190046
dist_auto_full_xmat_matern12,10,1.4,0.476572,0.4757744745106909,0.001771521160578698,0.47230235683810606,0.4792465921832757
dist_auto_full_xmat_matern12,10,1.4,0.475562,0.4748568025833636,0.0015202208447421092,0.471877224479122,0.4778363806876052
