fold,n,R2,RMSE,MAE,bias_y_minus_pred,mean_pred_std,coverage_95,max_abs_error,RF_R2,RF_RMSE,RF_MAE,GPR_RMSE_reduction_vs_RF_pct,GPR_better_RMSE
1,17,0.9159324785326898,3.346098701735879,1.4011860007943833,-0.27860440170381023,3.0352808422193602,0.9411764705882353,12.74823894293543,0.9904199852290491,1.1295558654101476,0.6987509562863603,-196.23135997092922,False
2,17,0.7151776399314556,3.744467077723986,1.433757349276714,0.22353598888271212,2.826872544780418,0.9411764705882353,12.206860065936542,0.5605942902507524,4.650887388727626,1.999134607899535,19.489190669301827,True
3,17,0.9578666820783815,1.641768475780123,0.8619616047761096,0.16014690589824057,3.4341632847041175,0.9411764705882353,4.781089919044081,0.8882204402722332,2.6741162278671076,1.6525815615579167,38.6051937955738,True
4,17,0.9728540557247858,2.367611706397817,1.222998096807069,-0.9864697039103824,3.598517594612646,0.8823529411764706,6.125666274496513,0.8378462494454277,5.786573863438854,1.8644700895746291,59.08439497580718,True
5,17,0.9236976133456332,0.8543421130030986,0.4864292090767748,-0.03421415460447551,4.032512548418361,1.0,2.5128403566118465,-0.12789722788014712,3.2847136703806754,1.3560262655374349,73.99036266975179,True
6,17,0.9620044273494766,2.6855446670413987,1.2683796262191411,-0.6454154400143469,4.053626096441576,0.9411764705882353,10.205623128455075,0.9686749815970676,2.438437060667612,1.3065865882157301,-10.133852144870703,False
7,17,0.8629926595150746,4.234167041773009,2.64982831817195,-0.43890348986742245,3.8290906999905654,0.8823529411764706,11.841045344759513,0.9452742063291663,2.676036936957617,1.4305769961065131,-58.225283937479134,False
8,17,0.9568799056386476,2.133948425042361,1.186915678990433,0.02032458728308578,3.189100003467023,1.0,7.63979882217455,0.9447161608063093,2.416257221869441,1.0772514749080833,11.6837228367872,True
9,17,0.7718344812234551,1.5708739546733865,0.8310259918851699,0.5927373016285696,3.4867582562562545,1.0,4.44607738568768,0.5876061325652693,2.1118955344215933,0.9473332716794168,25.617819202235395,True
10,17,0.9830882808460071,1.1850489544897809,0.5752575494594635,0.4102701615616996,3.638507301098962,1.0,4.223513805093582,0.9490712906264178,2.05647648448969,1.0602697087207824,42.3747869996263,True
