candidate,fold,R2,RMSE,MAE,corr2,n
axis_environment_interaction_matern32,5,0.518711459923717,10.939566095332696,7.074044838770541,0.7018921016515604,34
moe_matern32_rf_gate40,1,0.9532678296018168,2.360349720924503,1.1294170265762418,0.981566776003513,34
moe_matern32_rf_gate40,3,-0.6866416614549495,3.9133175123601744,3.262994727054472,0.09051736444705565,34
moe_matern32_rf_gate40,4,-4.399290030871355,13.950431315937749,9.646120062103128,0.03040125778659855,34
moe_matern32_rf_gate50,2,-1.2346903837593874,2.4648458609647244,1.5663577641419937,0.2868123940262719,34
