file_key,fold,y,pred_mean,pred_std,residual,lower_95,upper_95
0-0-2-10-0,9,40.74,39.94064473966481,10.052625665797317,0.7993552603351901,20.23786048463909,59.64342899469054
0-0-2-13-1,4,41.08,41.43699722175232,9.374720923570633,-0.35699722175232296,23.062881846439808,59.811112597064835
0-0-2-13-2,9,43.73,40.56345398176397,9.33825622292121,3.1665460182360263,22.260808106431362,58.86609985709658
0-0-2-13-3,8,42.65,38.73088315181353,7.5992429372900485,3.9191168481864693,23.83664068495466,53.6251256186724
0-0-2-13-4,7,39.08,32.26959522220985,7.521143227453588,6.810404777790147,17.528425373833475,47.01076507058623
0-0-2-13-5,8,33.16,32.3701802422483,5.612167702368407,0.7898197577516939,21.37053367040732,43.369826814089286
0-0-2-13-6,7,25.09,23.3151456310938,3.725708506720043,1.774854368906201,16.012891141028007,30.61740012115959
0-0-2-13-7,6,16.42,24.692000070339787,4.80526077102023,-8.272000070339786,15.273862022816964,34.11013811786261
0-0-2-13-8,10,9.54,8.698372240843476,4.459965166036665,0.8416277591565233,-0.042998856891589554,17.43974333857854
0-0-2-13-9,4,5.23,11.594046539214226,3.599606265740524,-6.364046539214225,4.538947899838084,18.649145178590366
0-0-2-16-11,4,11.68,16.79468500813384,1.824710546140245,-5.11468500813384,13.218318055488547,20.371051960779134
0-0-2-16-12,3,14.77,10.698978256004231,2.2286353151218394,4.071021743995768,6.330933303691352,15.06702320831711
0-0-2-16-14,8,4.6,32.1371628982981,8.40585144958688,-27.5371628982981,15.66199679771401,48.61232899888219
0-0-2-3-0,2,18.83,38.25454391700856,9.77310640518066,-19.424543917008563,19.09960734577675,57.409480488240376
0-0-2-3-1,7,24.7,40.113587205318325,9.629355135364227,-15.413587205318326,21.240397945658625,58.98677646497802
0-0-2-6-2,10,43.28,37.024241356642946,9.796771278011144,6.255758643357055,17.822922486964664,56.22556022632123
0-0-2-6-3,8,42.98,42.66990535268619,9.114971876343605,0.31009464731380376,24.80488875495725,60.53492195041514
0-0-2-6-4,7,42.61,40.858703114646595,8.812994462168843,1.7512968853534048,23.58555137284472,58.13185485644847
0-0-2-6-5,10,42.03,40.79767242956481,6.811074222046571,1.2323275704351886,27.448212258324368,54.14713260080526
0-0-2-6-6,5,41.1,41.26779899587855,5.779283400967431,-0.16779899587854885,29.94061167353223,52.59498631822487
0-0-2-6-7,9,39.86,39.85674212068929,5.064162575265577,0.0032578793107091997,29.931165861313147,49.78231838006543
0-0-2-6-8,4,38.45,38.44808100737549,3.794622697446482,0.0019189926245104516,31.010757185462158,45.88540482928883
0-0-2-6-9,5,37.02,39.9746423658366,7.124975855606794,-2.954642365836598,26.009946298129826,53.93933843354338
0-0-2-9-12,7,43.0,41.773624382104686,8.731606454745904,1.2263756178953145,24.65999020362525,58.88725856058412
0-0-2-9-13,6,42.23,41.629111715187555,4.39884805148973,0.6008882848124415,33.00752796080349,50.25069546957162
0-0-2-9-14,3,42.05,42.69104025296563,4.193461587532032,-0.6410402529656309,34.47200657085069,50.91007393508057
0-0-2-9-15,9,42.34,42.60592163156394,4.407621190188521,-0.2659216315639341,33.967142841298866,51.24470042182901
0-0-2-9-16,5,42.9,42.96640337988579,2.8646693091704014,-0.06640337988579148,37.351754706294564,48.581052053477016
0-0-2-9-17,2,43.48,43.214666977102965,2.7915031047460785,0.26533302289703187,37.74342142906891,48.68591252513702
0-0-2-9-18,1,43.93,43.58637468998114,7.014088466977443,0.343625310018858,29.839013910327594,57.33373546963469
0-0-3-1-0,5,46.53,44.126477243232316,10.068371089553283,2.4035227567676856,24.392832524723577,63.86012196174106
0-0-3-1-1,6,47.25,47.087697781846515,7.486762937306989,0.162302218153485,32.41391206393551,61.76148349975752
0-0-3-1-2,3,47.56,47.459247161754284,5.553729917115785,0.10075283824571812,36.574136544344725,58.34435777916384
0-0-3-1-3,9,47.62,47.580095111937204,5.594097969363404,0.03990488806279302,36.61586456599628,58.544325657878126
0-0-3-1-4,4,47.52,47.65770172347331,3.646219623010462,-0.137701723473306,40.51124258264959,54.80416086429703
0-0-3-1-5,5,47.35,47.02686206164996,5.867253638846843,0.3231379383500439,35.52725624134857,58.52646788195135
0-0-3-1-6,2,47.15,46.67365626070838,7.729479827492408,0.47634373929162166,31.524154179594387,61.823158341822364
0-0-3-1-7,9,46.93,45.47948061349539,9.13813339959311,1.4505193865046095,27.569068264370326,63.38989296262045
0-0-3-1-8,2,46.71,45.586142805855644,8.362159103907004,1.1238571941443567,29.196612129204183,61.975673482507105
0-0-3-11-10,1,44.51,44.61427483708283,2.793027076295307,-0.10427483708283347,39.140042359698825,50.08850731446684
0-0-3-11-11,9,43.68,43.788809621832925,3.7910736754044385,-0.10880962183292553,36.35844175530234,51.21917748836351
0-0-3-11-12,4,43.11,43.079110378629736,4.4258216922589835,0.030889621370263853,34.40465925980601,51.75356149745346
0-0-3-11-13,3,42.95,43.365951971589176,3.862983666845938,-0.4159519715891733,35.794643111704666,50.93726083147369
0-0-3-11-14,7,43.3,43.1059047701029,4.204325716737059,0.19409522989709416,34.86557778602272,51.34623175418309
0-0-3-11-15,10,44.14,45.32299461505645,2.983157434309362,-1.182994615056451,39.47611348359719,51.169875746515714
0-0-3-11-16,8,45.38,44.104984647467184,3.0405835193366535,1.2750153525328187,38.145550457581294,50.064418837353074
0-0-3-11-8,3,46.3,45.70965997774583,5.047569021038803,0.5903400222541677,35.816606487029674,55.602713468461985
0-0-3-11-9,8,45.43,45.246818324620584,2.951301026751405,0.18318167537941576,39.46237460465175,51.03126204458942
0-0-3-14-17,3,39.98,43.63996706426016,2.3916752588463166,-3.659967064260165,38.95236969420587,48.32756443431445
0-0-3-14-18,9,43.62,40.0533618092425,2.567888352365746,3.5666381907574944,35.02039312228574,45.08633049619927
0-0-3-15-3,6,45.86,46.20712932789018,2.170077487462004,-0.3471293278901797,41.95385560880348,50.46040304697688
0-0-3-15-4,8,45.28,45.145739688289964,1.3100917582957303,0.13426031171003672,42.57800702558758,47.71347235099235
0-0-3-15-5,7,44.18,43.99047640682658,1.6154548750527458,0.18952359317341916,40.82424303307354,47.15670978057962
0-0-3-15-6,5,42.31,43.18684017495132,3.469408813448426,-0.8768401749513188,36.386923852946566,49.986756496956076
0-0-3-18-10,6,17.54,16.80152172631806,0.35754589336993486,0.7384782736819382,16.10074465249279,17.502298800143333
