model,tag,x,y,pred_mean,pred_std,lower_95,upper_95
dist_auto_full_xmat_matern32,a,0.0,0.465724,0.47115493758454663,0.0011300093001897417,0.4689401600539794,0.47336971511511383
dist_auto_full_xmat_matern32,a,0.2,0.466861,0.4708864431363929,0.0011730908322718082,0.468587227354546,0.47318565891823977
dist_auto_full_xmat_matern32,a,0.2,0.466057,0.47001786367788595,0.0010875269585950177,0.4678863500068233,0.4721493773489486
dist_auto_full_xmat_matern32,a,0.4,0.468116,0.47112084015705985,0.001813749522409749,0.46756595641616,0.4746757238979597
dist_auto_full_xmat_matern32,a,0.4,0.467146,0.46987176873424996,0.0011647221309617666,0.46758895530556815,0.47215458216293177
dist_auto_full_xmat_matern32,a,0.4,0.465839,0.4690991201533091,0.00113989054130535,0.46686497574603275,0.4713332645605855
dist_auto_full_xmat_matern32,a,0.6,0.469295,0.47159813165565145,0.0011499639205619177,0.46934424378782963,0.4738520195234733
dist_auto_full_xmat_matern32,a,0.6,0.468236,0.4704540734355836,0.001082930203139913,0.46833156923965874,0.47257657763150845
dist_auto_full_xmat_matern32,a,0.6,0.467101,0.469485582670729,0.0017248968726943103,0.46610484692320236,0.4728663184182556
dist_auto_full_xmat_matern32,a,0.6,0.466217,0.46873093295433,0.0012297291690608445,0.46632070807223236,0.4711411578364276
dist_auto_full_xmat_matern32,a,0.8,0.470466,0.47237690777396774,0.0010927024462525513,0.47023525033349395,0.4745185652144415
dist_auto_full_xmat_matern32,a,0.8,0.469381,0.4710487000669899,0.0010311662499076944,0.4690276513550976,0.4730697487788822
dist_auto_full_xmat_matern32,a,0.8,0.468414,0.46984379848209895,0.0010742288439957188,0.46773834863671326,0.47194924832748464
dist_auto_full_xmat_matern32,a,0.8,0.467748,0.4689168458199766,0.0011234797280878137,0.46671486601556367,0.47111882562438956
dist_auto_full_xmat_matern32,a,0.8,0.467487,0.46873077913145683,0.001751199439909051,0.46529849129948836,0.4721630669634253
dist_auto_full_xmat_matern32,a,1.0,0.471703,0.47341903065308405,0.0011089799986806843,0.4712454697960946,0.4755925915100735
dist_auto_full_xmat_matern32,a,1.0,0.470628,0.47200666259170143,0.0010366713181181745,0.46997482414438413,0.47403850103901873
dist_auto_full_xmat_matern32,a,1.0,0.469695,0.47065154660468894,0.0010188437670977128,0.46865464951530433,0.47264844369407355
dist_auto_full_xmat_matern32,a,1.0,0.469032,0.4695056242856168,0.001019816868418665,0.46750681995268983,0.4715044286185438
dist_auto_full_xmat_matern32,a,1.0,0.468706,0.46871129874473194,0.001083319492842917,0.4665880315550096,0.4708345659344543
dist_auto_full_xmat_matern32,a,1.0,0.468784,0.46839961545329506,0.0011821524082928428,0.4660826393088038,0.47071659159778634
dist_auto_full_xmat_matern32,a,1.2,0.473035,0.4747011325002068,0.001161589394803837,0.4724244591215676,0.476977805878846
dist_auto_full_xmat_matern32,a,1.2,0.471969,0.473256484837474,0.0010668520720635618,0.4711654931993975,0.47534747647555053
dist_auto_full_xmat_matern32,a,1.2,0.470924,0.47172610391708497,0.0010363731278254739,0.46969484991200194,0.473757357922168
dist_auto_full_xmat_matern32,a,1.2,0.470091,0.47026289861390813,0.0010270004262117273,0.46825001476642586,0.4722757824613904
dist_auto_full_xmat_matern32,a,1.2,0.469594,0.46908725338426244,0.001027662646134014,0.4670730716095826,0.47110143515894226
dist_auto_full_xmat_matern32,a,1.2,0.469333,0.4684083520681114,0.0010374669124400882,0.4663749542845768,0.47044174985164594
dist_auto_full_xmat_matern32,a,1.2,0.469293,0.46841183763600863,0.0011326833337481248,0.46619181909597357,0.4706318561760437
dist_auto_full_xmat_matern32,a,1.4,0.474378,0.4761890227777962,0.001239177829434118,0.4737602788616648,0.4786177666939276
dist_auto_full_xmat_matern32,a,1.4,0.473376,0.47468643205080074,0.0011287058957459746,0.47247420914600063,0.47689865495560085
dist_auto_full_xmat_matern32,a,1.4,0.472188,0.4730318798368745,0.001075413754989683,0.47092410760861575,0.47513965206513326
dist_auto_full_xmat_matern32,a,1.4,0.471078,0.47131034292205004,0.0010524839280598068,0.46924751232874556,0.4733731735153545
