file_key,fold,y,pred_mean,pred_std,residual,lower_95,upper_95
0-0-2-10-0,9,40.74,35.2002995631664,9.585942754594216,5.5397004368335985,16.412197006299063,53.98840212003374
0-0-2-13-1,4,41.08,42.068374135352784,4.1825374878739146,-0.9883741353527853,33.87075129513128,50.26599697557429
0-0-2-13-2,9,43.73,41.27621438976947,3.3937416805017335,2.4537856102305255,34.62460292315363,47.92782585638531
0-0-2-13-3,8,42.65,41.696153040589714,3.0760889269076377,0.953846959410285,35.66712953060828,47.72517655057115
0-0-2-13-4,7,39.08,30.5473797820573,3.3399386195294962,8.5326202179427,24.00122037720506,37.09353918690954
0-0-2-13-5,8,33.16,32.782946691413514,2.93370376141659,0.37705330858648267,27.03299297772731,38.53290040509972
0-0-2-13-6,7,25.09,21.63888539277904,3.3765719665891374,3.4511146072209584,15.02092594705675,28.256844838501333
0-0-2-13-7,6,16.42,19.487811985269822,3.4987945232885838,-3.0678119852698202,12.630300730318211,26.345323240221433
0-0-2-13-8,10,9.54,8.05002606738784,3.4210567680908643,1.489973932612159,1.3448780128627496,14.75517412191293
0-0-2-13-9,4,5.23,8.764258285248644,4.411902863373641,-3.5342582852486437,0.11708756974717005,17.41142900075012
0-0-2-16-11,4,11.68,16.89537066676302,2.239112216083606,-5.215370666763022,12.506791365895486,21.283949967630555
0-0-2-16-12,3,14.77,10.116799325935808,1.696466627549611,4.653200674064191,6.791785834964445,13.441812816907172
0-0-2-16-14,8,4.6,10.297651834024293,4.117629296880703,-5.697651834024294,2.22724671045113,18.368056957597457
0-0-2-3-0,2,18.83,25.609681642350637,7.18562068517389,-6.7796816423506385,11.526123892843787,39.69323939185749
0-0-2-3-1,7,24.7,38.06488814887438,6.374679884272731,-13.364888148874382,25.570745162727867,50.559031135020895
0-0-2-6-2,10,43.28,42.49596264164699,7.053786150508365,0.7840373583530109,28.670795832003165,56.321129451290815
0-0-2-6-3,8,42.98,41.54229875103182,6.3612358943011476,1.4377012489681746,29.074505501038132,54.01009200102551
0-0-2-6-4,7,42.61,40.571924054920544,4.024927901089145,2.0380759450794557,32.68321032841543,48.46063778142566
0-0-2-6-5,10,42.03,39.56556272276622,4.776321739727109,2.4644372772337846,30.20414413432539,48.926981311207044
