axis_angle_deg,surface_feature_value,pred_mean,pred_std,interval_width_95,lower_95,upper_95,surface_feature,surface_feature_label,grid_kind,reference_file_key,reference_tilt_deg_proxy,reference_deviation_deg
-22.94530541122073,0.0,40.12929621476796,11.189974457480552,43.863893849170026,18.19734929018295,62.061243139352975,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-21.267607162024042,0.0,40.118857416330485,11.12000296983491,43.589610657709734,18.324052087475618,61.91366274518535,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-19.589908912827354,0.0,40.12344287106323,11.053022351434949,43.32705145825744,18.45991714193451,61.786968600191955,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-17.91221066363067,0.0,40.14444057836395,10.988397829172126,43.07372798595096,18.60757658538847,61.681304571339425,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-16.234512414433983,0.0,40.18216012417702,10.925484619928822,42.82711273741354,18.768603755470245,61.59571649288379,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-14.556814165237295,0.0,40.235694553343755,10.86366029825442,42.584765849712646,18.943311628487432,61.528077478200075,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-12.87911591604061,0.0,40.302903380045024,10.802346828262664,42.34442146381061,19.130692648139718,61.47511411195033,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-11.201417666843923,0.0,40.38050866092535,10.7410275932468,42.10405447942933,19.328481421210686,61.43253590064002,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-9.523719417647236,0.0,40.46427866227641,10.679262937601653,41.861941478265315,19.533307923143756,61.395249401409075,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-7.846021168450548,0.0,40.54926480584789,10.616704936810061,41.61671862127262,19.74090549521158,61.3576241164842,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-6.1683229192538604,0.0,40.63005739455822,10.553110009037963,41.367431085207144,19.94634185195465,61.313772937161794,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-4.490624670057176,0.0,40.7010317299385,10.48834726359133,41.11356578797647,20.144248835950265,61.257814623926734,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-2.8129264208604887,0.0,40.75656519535958,10.422400905505599,40.85506081445724,20.329034788130958,61.1840956025882,sum_invd_LH3_d5,sum_invd_LH3_d5,axis_environment,0-0-3-18-10,0.8492583576581294,0.40248610421612435
