evaluation_split,angle_view,angle_bin,angle_min_deg,angle_max_deg,model,R2,RMSE,MAE,corr2,n
trajectory_group5,molecular_axis,"[10,30)",10.07059089346138,28.68897001866493,RF_R_base,-0.2960645180882977,3.0538526076154078,1.8657621574073668,0.5536744934240866,36
trajectory_group5,molecular_axis,"[10,30)",10.07059089346138,28.68897001866493,RF_R_base_plus_residualPLS5,-0.0464417115807636,2.7440516578309095,1.8254542005179084,0.6938627195412453,36
trajectory_group5,molecular_axis,"[30,50)",32.02152753125427,49.94706543559935,RF_R_base,-0.3394695011636957,10.266967466002107,5.985312701923064,0.1493027839589341,52
trajectory_group5,molecular_axis,"[30,50)",32.02152753125427,49.94706543559935,RF_R_base_plus_residualPLS5,-0.42381967642531637,10.585302323505557,6.208096470458244,0.14450438142518054,52
trajectory_group5,molecular_axis,"[50,70]",50.77899703945221,60.93960704861361,RF_R_base,0.0749480651836345,14.483309591111936,8.331225971544683,0.1858899308627416,41
trajectory_group5,molecular_axis,"[50,70]",50.77899703945221,60.93960704861361,RF_R_base_plus_residualPLS5,0.044916200618163815,14.716532552482308,8.25390467039008,0.1759602172001813,41
trajectory_group5,molecular_axis,"[-30,-10)",-22.94530541122073,-11.840841486868769,RF_R_base,0.5214447563691985,5.17928955653577,2.8087021666666927,0.5629752014844867,24
trajectory_group5,molecular_axis,"[-30,-10)",-22.94530541122073,-11.840841486868769,RF_R_base_plus_residualPLS5,0.2878695550063296,6.318062657350752,4.1813504239217325,0.29177748062117626,24
trajectory_group5,molecular_axis,"[-10,10)",-2.9275461939461893,8.04554953535689,RF_R_base,-2.5305354106901166,7.986861747353351,5.719986068627448,0.7709298637443796,17
trajectory_group5,molecular_axis,"[-10,10)",-2.9275461939461893,8.04554953535689,RF_R_base_plus_residualPLS5,-2.40388396418095,7.842296435570041,5.854514582795929,0.8028051067931781,17
trajectory_group10,molecular_axis,"[10,30)",10.07059089346138,28.68897001866493,RF_R_base,-0.50269711875163,3.288292852548313,1.821708708333342,0.5974391435765284,36
trajectory_group10,molecular_axis,"[10,30)",10.07059089346138,28.68897001866493,RF_R_base_plus_residualPLS5,-0.7930361038420286,3.591941697785726,1.924186127985756,0.6935226714919511,36
trajectory_group10,molecular_axis,"[30,50)",32.02152753125427,49.94706543559935,RF_R_base,-0.3897555654957636,10.457911975914124,5.5583683525641066,0.12811121671753095,52
trajectory_group10,molecular_axis,"[30,50)",32.02152753125427,49.94706543559935,RF_R_base_plus_residualPLS5,-0.732992026282066,11.678150110030344,6.095678905725786,0.08112813237618074,52
trajectory_group10,molecular_axis,"[50,70]",50.77899703945221,60.93960704861361,RF_R_base,-0.012116659071608638,15.149560814667668,8.498012532520354,0.12286533883357949,41
trajectory_group10,molecular_axis,"[50,70]",50.77899703945221,60.93960704861361,RF_R_base_plus_residualPLS5,-0.08226793045542835,15.665784608821765,8.640152607519095,0.10232509493788824,41
trajectory_group10,molecular_axis,"[-30,-10)",-22.94530541122073,-11.840841486868769,RF_R_base,0.3431439089388567,6.067911915610777,3.0097102777777303,0.36393449639337255,24
trajectory_group10,molecular_axis,"[-30,-10)",-22.94530541122073,-11.840841486868769,RF_R_base_plus_residualPLS5,0.036130872210915155,7.350437465584009,3.940811470209251,0.06403726350067333,24
trajectory_group10,molecular_axis,"[-10,10)",-2.9275461939461893,8.04554953535689,RF_R_base,-5.083654615996868,10.484269017253101,7.4386479705882245,0.8055293339023335,17
trajectory_group10,molecular_axis,"[-10,10)",-2.9275461939461893,8.04554953535689,RF_R_base_plus_residualPLS5,-6.2466969985798375,11.44263203493314,8.085785715585573,0.8357211145709423,17
