tag,a,b,10,15,20,25
a,0.0,33.839454978067735,4.325026611031524,6.608849581351392,8.85085881658706,11.06074964956535
b,33.839454978067735,0.0,32.22074270683808,31.58441626761455,31.216242040706504,31.05737826266342
10,4.325026611031524,32.22074270683808,0.0,2.3054541829087394,4.560882119532333,6.795936263701386
15,6.608849581351392,31.58441626761455,2.3054541829087394,0.0,2.273439712910288,4.52081408626556
20,8.85085881658706,31.216242040706504,4.560882119532333,2.273439712910288,0.0,2.2554127817599885
25,11.06074964956535,31.05737826266342,6.795936263701386,4.52081408626556,2.2554127817599885,0.0
