axis_angle_deg_bin,n,y_mean,y_std,y_min,y_max,fraction_y_below_30,axis_mean_deg,axis_abs_elevation_mean_deg_proxy
"[10,30)",36,47.94027777777777,2.7205204188181265,37.02,50.72,0.0,17.17652056644687,30.821581328431687
"[30,50)",52,42.57557692307692,8.957614224882084,5.23,47.76,0.07692307692307693,42.07402310829255,22.29799798120155
"[50,70]",41,38.25585365853659,15.245676104327048,1.89,48.18,0.21951219512195122,57.999552994814344,16.148735402471036
"[-30,-10)",24,46.0975,7.64796434978957,18.83,50.67,0.08333333333333333,-19.143412623533262,19.64639779863862
"[-10,10)",17,45.79352941176471,4.3814751242824475,38.45,52.24,0.0,2.9512100978390596,24.867774671508514
