R2,RMSE,MAE,corr2,n,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,NLPD,model,test_tag,representation,include_xy,drop_constant_features,kernel_family,ard,matern_nu,optimizer_restarts,optimized_kernel,signal_variance,noise_variance,length_scale_count,length_scale_min,length_scale_median,length_scale_max,length_scales_at_lower_bound,length_scales_at_upper_bound,length_scales_at_upper_fraction,log_marginal_likelihood
0.522412640997576,0.0018100355340609161,0.0014485025032796948,0.7431383273339592,55,0.2545454545454545,0.0015540719847020952,0.6181818181818182,0.002952785248975226,0.7636363636363637,0.003789858837495738,0.8363636363636363,0.0045158953394225845,-4.6707280040920605,dist_auto_full_xy_matern32_previous,a,full,True,True,matern,False,1.5,0,"7.55**2 * Matern(length_scale=116, nu=1.5) + WhiteKernel(noise_level=1e-08)",56.993808632839595,9.999999999999982e-09,1.0,115.64085499282012,115.64085499282012,115.64085499282012,0.0,0.0,0.0,339.20715470256994
-0.6542686376780824,0.01693354528159237,0.012181421848421818,0.41083011740043535,55,0.5818181818181818,0.02236606763176893,0.8181818181818182,0.04249622619207654,0.8727272727272727,0.05454331582364607,0.9090909090909091,0.06499236944862444,-2.649667047706212,dist_auto_full_xy_matern32_previous,b,full,True,True,matern,False,1.5,0,"6.87**2 * Matern(length_scale=120, nu=1.5) + WhiteKernel(noise_level=1e-08)",47.217804468740034,9.999999999999982e-09,1.0,119.87169920850609,119.87169920850609,119.87169920850609,0.0,0.0,0.0,264.9626199162112
0.9783009140200807,0.00036482089312274814,0.0002961633004858794,0.9801097924321529,55,0.43636363636363634,0.0004483226365017427,0.7272727272727273,0.0008518269944218778,0.8727272727272727,0.001093308111027573,0.9272727272727272,0.0013027569666433194,-6.426257907622185,dist_auto_full_xy_matern32_previous,10,full,True,True,matern,False,1.5,0,"7.1**2 * Matern(length_scale=101, nu=1.5) + WhiteKernel(noise_level=1e-08)",50.421533610993855,9.999999999999982e-09,1.0,100.98723721204938,100.98723721204938,100.98723721204938,0.0,0.0,0.0,293.0503722567313
0.993609392694161,0.00017750923168759805,0.0001425805532496009,0.9951485905109473,55,0.5818181818181818,0.00039543740357715515,0.9090909090909091,0.0007513434021523245,0.9636363636363636,0.0009643388165899739,1.0,0.0011490805737610402,-7.08992896398839,dist_auto_full_xy_matern32_previous,15,full,True,True,matern,False,1.5,0,"7.5**2 * Matern(length_scale=102, nu=1.5) + WhiteKernel(noise_level=1e-08)",56.303869440007205,9.999999999999982e-09,1.0,102.1631302333709,102.1631302333709,102.1631302333709,0.0,0.0,0.0,276.2698780034593
0.995534152290481,0.00013810101706162017,0.0001146625966291014,0.9965370703537406,55,0.7090909090909091,0.0003647457990832872,1.0,0.0006930283962137497,1.0,0.0008894923167669257,1.0,0.001059895468400668,-7.195417442652778,dist_auto_full_xy_matern32_previous,20,full,True,True,matern,False,1.5,0,"6.77**2 * Matern(length_scale=95.1, nu=1.5) + WhiteKernel(noise_level=1e-08)",45.7818638075598,9.999999999999982e-09,1.0,95.12094014381276,95.12094014381276,95.12094014381276,0.0,0.0,0.0,276.27705256922434
0.9841670083622781,0.0002534919777747441,0.00021687255635241694,0.9909115868709159,55,0.7454545454545455,0.0006432058891198728,1.0,0.0012221112536246052,1.0,0.0015685628125376293,1.0,0.001869057872195279,-6.606661685649929,dist_auto_full_xy_matern32_previous,25,full,True,True,matern,False,1.5,0,"6.94**2 * Matern(length_scale=99, nu=1.5) + WhiteKernel(noise_level=1e-08)",48.13223893962099,9.999999999999982e-09,1.0,99.03438011666731,99.03438011666731,99.03438011666731,0.0,0.0,0.0,300.2181242427464
-0.040446174149881164,0.006955442932497843,0.0024000338930697516,0.04983010036071131,330,0.5515151515151515,0.004295308557458847,0.8454545454545455,0.008161220247910722,0.9121212121212121,0.010474812786343986,0.9454545454545454,0.012481509278174553,-5.773110175285259,dist_auto_full_xy_matern32_previous,ALL_OOF,full,True,True,matern,False,1.5,0,per-fold,,,,,,,,,,
0.12939172157249812,0.0024438361544513116,0.00210671710993434,0.7689452911152811,55,0.45454545454545453,0.0031817958059330476,0.8,0.006045511284865821,0.8909090909090909,0.007759329730491071,0.9454545454545454,0.009245811643507454,-4.599577944913856,dist_auto_full_xmat_matern12,a,full,False,False,matern,False,0.5,0,"4**2 * Matern(length_scale=1e+03, nu=0.5) + WhiteKernel(noise_level=1e-06)",15.987346530870846,1.0000000000000004e-06,1.0,999.9999999999998,999.9999999999998,999.9999999999998,0.0,1.0,1.0,9.141605947696092
-0.609314810876292,0.016701880783112293,0.012059936410002817,0.17518611347145033,55,0.2,0.0055898528933565105,0.34545454545454546,0.01062089486839865,0.4727272727272727,0.013631770984050821,0.5454545454545454,0.016243256990444658,4.504482080361193,dist_auto_full_xmat_matern12,b,full,False,False,matern,False,0.5,0,"2.39**2 * Matern(length_scale=587, nu=0.5) + WhiteKernel(noise_level=1e-06)",5.6946103819089124,1.0000000000000004e-06,1.0,587.3322763092798,587.3322763092798,587.3322763092798,0.0,0.0,0.0,31.96417101118854
0.941177997953352,0.0006006602366282752,0.00046453606874302867,0.9617887198747125,55,0.9090909090909091,0.002080585321959181,1.0,0.003953177013929063,1.0,0.005073847767162756,1.0,0.006045862515504771,-5.484667103638232,dist_auto_full_xmat_matern12,10,full,False,False,matern,False,0.5,0,"4.2**2 * Matern(length_scale=1e+03, nu=0.5) + WhiteKernel(noise_level=1e-06)",17.656632219906854,1.0000000000000004e-06,1.0,999.9999999999998,999.9999999999998,999.9999999999998,0.0,1.0,1.0,-7.018988120430663
