model,kernel_family,ard,mean_tag_R2,median_tag_R2,worst_tag_R2,mean_tag_RMSE,mean_coverage_95,tags_unique_best_R2,all_oof_R2,all_oof_RMSE,all_oof_MAE
dist_auto_full_xmat_rbf_iso,rbf,False,0.6378804819415856,0.9694799730246018,-0.512663188823042,0.0032156136147217,0.6606060606060605,1,0.0445273029567984,0.0066653678694881,0.0023573311154765
dist_auto_full_xy_matern32_previous,matern,False,0.6366259117810824,0.9812339611911793,-0.6542686376780824,0.003279583989216617,0.9454545454545454,1,-0.0404461741498811,0.0069554429324978,0.0024000338930697
dist_auto_full_xmat_matern32,matern,False,0.636200519792386,0.9810344050054474,-0.6491007540065779,0.0032783371085728335,0.9454545454545454,0,-0.0374206937400227,0.0069453228142675,0.0023989646873844
dist_auto_full_xmat_rbf_ard_original,rbf,True,0.6290318399369563,0.9933140649906584,-0.5126631938792952,0.00314864310051515,0.7666666666666666,4,0.0427347921926426,0.006671617208329,0.002300625919955
dist_auto_full_xmat_matern12,matern,False,0.5488169645955684,0.8983079056844965,-0.609314810876292,0.003496143924962133,0.915151515151515,0,-0.0250750309215774,0.0069038732649182,0.0026037039037206
