evaluation_split,fold,model,R2,RMSE,MAE,corr2,n,trajectory_group_count
trajectory_group10,1,RF_R_base,0.7801009219876703,6.6199953425066935,2.8439533055555715,0.9846684504396688,18,3
trajectory_group10,1,RF_R_base_plus_residualPLS5,0.7454753335074409,7.122146753792927,3.0685189107578665,0.981132139792881,18,3
trajectory_group10,2,RF_R_base,0.5206296599126183,1.5827976648203321,1.275245441176489,0.8611313845252344,17,3
trajectory_group10,2,RF_R_base_plus_residualPLS5,0.5144360067345883,1.5929900320542758,1.328707302095737,0.8460442180244145,17,3
trajectory_group10,3,RF_R_base,0.7716358566642776,1.0840447086237133,0.8560383888888943,0.7783475099040914,18,3
trajectory_group10,3,RF_R_base_plus_residualPLS5,0.6500480270041034,1.3419534775034576,1.0204468270450053,0.7252450081144537,18,3
trajectory_group10,4,RF_R_base,-0.8863418431007128,3.7761269499974537,2.310917127450924,0.10189933905681706,17,3
trajectory_group10,4,RF_R_base_plus_residualPLS5,-0.7258000583610893,3.611865977319072,2.451633908001648,0.11336819442924471,17,3
trajectory_group10,5,RF_R_base,0.17538253183306773,12.16569637085161,8.042517568627487,0.18745759203916146,17,3
trajectory_group10,5,RF_R_base_plus_residualPLS5,0.14722783560173303,12.37163834655232,8.024633015477882,0.1782752042017737,17,3
trajectory_group10,6,RF_R_base,0.4249418674062224,6.461379433521168,3.4187446862744957,0.7205239308293064,17,3
trajectory_group10,6,RF_R_base_plus_residualPLS5,0.08810204934083499,8.136591075280446,4.228531397687224,0.1876721353849805,17,3
trajectory_group10,7,RF_R_base,0.38040702077005617,1.4371535788378964,0.8217553529412129,0.39535205004040075,17,3
trajectory_group10,7,RF_R_base_plus_residualPLS5,0.2702953408108052,1.5596368804945215,1.0978281143550708,0.3342375754801484,17,3
trajectory_group10,8,RF_R_base,-6.173678529087387,3.789753452699784,2.88657596875002,0.014728179122924807,16,3
trajectory_group10,8,RF_R_base_plus_residualPLS5,-3.7322383736939715,3.0780332597116136,2.339030210803949,0.06638819751005147,16,3
trajectory_group10,9,RF_R_base,-121.5029915147629,20.380086457574144,19.155450375,0.23684406005134231,16,3
trajectory_group10,9,RF_R_base_plus_residualPLS5,-168.4742145720995,23.970908262608337,22.54683736353438,0.16901519372166654,16,3
trajectory_group10,10,RF_R_base,-0.34152589274014744,20.302577194446236,12.51040640196074,0.7847398399984218,17,3
trajectory_group10,10,RF_R_base_plus_residualPLS5,-0.3049795316906194,20.024122372992984,12.3248326502426,0.6941117333052301,17,3
trajectory_group5,1,RF_R_base,0.7866862397469494,5.042870490168731,2.6691379215686384,0.9329490285377185,34,6
trajectory_group5,1,RF_R_base_plus_residualPLS5,0.7688815069234816,5.249110650492501,2.989004871473044,0.9211401958827933,34,6
trajectory_group5,2,RF_R_base,0.48280144614350873,1.1857953329949653,0.837183416666659,0.8110987086846382,34,6
trajectory_group5,2,RF_R_base_plus_residualPLS5,0.14450951380072552,1.5250661366345646,1.0492078458242593,0.7487812740697132,34,6
trajectory_group5,3,RF_R_base,-0.1732838712782634,3.263887829937671,2.539311049019591,0.10127507120660476,34,6
trajectory_group5,3,RF_R_base_plus_residualPLS5,0.12513361717868954,2.8184123879550103,2.327663550618347,0.22212905673332678,34,6
trajectory_group5,4,RF_R_base,-2.271432761862625,10.85896181863137,8.666068416666636,0.1268701005546253,34,6
trajectory_group5,4,RF_R_base_plus_residualPLS5,-2.9685156423403267,11.960059907483258,9.587011228849576,0.08401831230062519,34,6
trajectory_group5,5,RF_R_base,-0.2847912437715763,17.87366526164902,11.30690443627447,0.033459991383267565,34,6
trajectory_group5,5,RF_R_base_plus_residualPLS5,-0.28117814043387446,17.848515313517034,11.30671889294416,0.03093760766599023,34,6
