file_key,fold,y,pred_mean,pred_std,residual,lower_95,upper_95
0-0-2-10-0,9,40.74,32.93555111874476,9.229961214940484,7.80444888125524,14.845159558759853,51.02594267872967
0-0-2-13-1,4,41.08,37.96951049428281,7.640587272067157,3.11048950571719,22.99423462029604,52.944786368269575
0-0-2-13-2,9,43.73,37.843966675696066,6.913816149162713,5.886033324303931,24.29313602760574,51.39479732378639
0-0-2-13-3,8,42.65,34.869424900534035,5.815113049336547,7.780575099465963,23.472012757805516,46.266837043262555
0-0-2-13-4,7,39.08,29.48049779515369,5.4952540843705435,9.59950220484631,18.709997703890792,40.250997886416584
0-0-2-13-5,8,33.16,26.980212333464767,4.9334172180535845,6.17978766653523,17.310892265369954,36.64953240155958
0-0-2-13-6,7,25.09,24.00312514311181,3.8109879942044373,1.0868748568881905,16.53372592895657,31.472524357267048
0-0-2-13-7,6,16.42,23.3997508254389,4.667130003293054,-6.979750825438899,14.25234410781821,32.54715754305959
0-0-2-13-8,10,9.54,9.352245458699002,4.296265470468804,0.1877545413009969,0.9317198685571153,17.772771048840887
0-0-2-13-9,4,5.23,13.517201411619187,3.941494848117461,-8.287201411619186,5.792013464058792,21.242389359179583
0-0-2-16-11,4,11.68,17.751939274439575,2.77859565019723,-6.0719392744395755,12.305991872453351,23.1978866764258
0-0-2-16-12,3,14.77,11.513285836854102,2.984363861962072,3.2567141631458973,5.664040150645576,17.36253152306263
0-0-2-16-14,8,4.6,25.562850344521983,6.616173991987414,-20.962850344521982,12.595387604776056,38.53031308426791
0-0-2-3-0,2,18.83,35.49535907129638,7.804668904002314,-16.66535907129638,20.198489108192145,50.792229034400606
0-0-2-3-1,7,24.7,33.39982056924465,7.990805346890937,-8.699820569244654,17.738129881868325,49.06151125662098
0-0-2-6-2,10,43.28,30.067976365220407,7.385470894382251,13.212023634779595,15.592719403362373,44.54323332707844
0-0-2-6-3,8,42.98,37.835272069456266,8.143453954940973,5.144727930543731,21.874395608011696,53.79614853090084
0-0-2-6-4,7,42.61,37.21504836603401,6.9262192520846435,5.394951633965988,23.639908082920158,50.790188649147865
0-0-2-6-5,10,42.03,38.54355927114815,5.369103524236788,3.4864407288518535,28.020309734376966,49.06680880791933
0-0-2-6-6,5,41.1,40.38234869360034,4.876729741323148,0.7176513063996595,30.824134038271637,49.94056334892905
0-0-2-6-7,9,39.86,39.68693906450538,4.5341044277369855,0.1730609354946182,30.800257683997298,48.57362044501346
0-0-2-6-8,4,38.45,38.99402852772072,4.195729856575532,-0.5440285277207195,30.770549119973275,47.21750793546817
0-0-2-6-9,5,37.02,40.737985070115144,5.792556706665568,-3.717985070115141,29.384782546644686,52.0911875935856
0-0-2-9-12,7,43.0,39.230704451685,6.613301807901012,3.769295548315,26.268871089305392,52.19253781406461
0-0-2-9-13,6,42.23,40.616303074927664,4.111837755505858,1.6136969250723325,32.55724916386417,48.67535698599116
0-0-2-9-14,3,42.05,42.2784607932909,4.037629570562296,-0.22846079329089974,34.36485225207487,50.192069334506925
0-0-2-9-15,9,42.34,42.72152008591066,3.9547233501164234,-0.3815200859106582,34.97040475086288,50.47263542095844
0-0-2-9-16,5,42.9,43.00220624383385,3.1101288578573127,-0.10220624383384802,36.90646569515482,49.09794679251287
0-0-2-9-17,2,43.48,42.89198076153249,3.0426710954146405,0.5880192384675098,36.92845499771876,48.855506525346215
0-0-2-9-18,1,43.93,43.48868469926082,5.5745662976996115,0.441315300739177,32.5627355263388,54.41463387218285
0-0-3-1-0,5,46.53,45.69236890864043,9.612665452498415,0.8376310913595688,26.851890826311116,64.53284699096974
0-0-3-1-1,6,47.25,47.60274236251158,6.080834179229391,-0.3527423625115773,35.68452637526179,59.520958349761365
0-0-3-1-2,3,47.56,47.248063111664905,4.8431932324578675,0.31193688833509725,37.75557880587936,56.74054741745045
0-0-3-1-3,9,47.62,47.793670269898996,4.758847578034268,-0.1736702698989987,38.466500409036165,57.12084013076183
0-0-3-1-4,4,47.52,47.93440834050797,4.111605923877897,-0.4144083405079684,39.87580881108576,55.99300786993018
0-0-3-1-5,5,47.35,47.3211427367333,4.998406694455833,0.02885726326670124,37.52444563551597,57.11783983795063
0-0-3-1-6,2,47.15,47.48093263871829,5.798540002237846,-0.3309326387182949,36.11600307141731,58.84586220601928
0-0-3-1-7,9,46.93,47.094021304333694,6.839780731872828,-0.16402130433369422,33.688297407711936,60.49974520095545
0-0-3-1-8,2,46.71,46.10417283512436,6.317225034230381,0.6058271648756417,33.722639285798,58.485706384450715
0-0-3-11-10,1,44.51,44.52989321405651,3.305288024760113,-0.019893214056509123,38.05164772699515,51.008138701117865
0-0-3-11-11,9,43.68,43.998362398592604,3.850519205815994,-0.31836239859260473,36.451483433413486,51.54524136377172
0-0-3-11-12,4,43.11,43.50964406279509,4.438293300963004,-0.39964406279509035,34.810749040082214,52.208539085507965
0-0-3-11-13,3,42.95,43.560978824750265,3.848143726547229,-0.6109788247502621,36.018755713383946,51.103201936116584
0-0-3-11-14,7,43.3,42.96401158449544,3.942765356408765,0.33598841550455916,35.23633348644203,50.69168968254885
0-0-3-11-15,10,44.14,45.27476141464341,3.0383383380924656,-1.1347614146434069,39.319727699134894,51.22979513015192
0-0-3-11-16,8,45.38,44.000785425847695,2.9566519558411137,1.3792145741523072,38.205854077579204,49.79571677411619
0-0-3-11-8,3,46.3,43.98330389878004,4.704820076602541,2.3166961012199536,34.76202599489808,53.204581802662005
0-0-3-11-9,8,45.43,45.17778670128094,3.268314941531409,0.25221329871906306,38.77200712574524,51.58356627681663
0-0-3-14-17,3,39.98,43.43331863586792,2.942381905930518,-3.453318635867923,37.666356071481786,49.200281200254054
0-0-3-14-18,9,43.62,40.140097718863444,3.0089353963722014,3.479902281136553,34.242692710166175,46.037502727560714
0-0-3-15-3,6,45.86,44.90795942750628,3.3647639155695446,0.952040572493722,38.313143336509995,51.50277551850256
0-0-3-15-4,8,45.28,44.87145132303733,2.4147927882796765,0.40854867696267405,40.1385444278821,49.60435821819255
0-0-3-15-5,7,44.18,43.54888967292091,2.732683028074875,0.6311103270790923,38.192929356730296,48.90484998911152
0-0-3-15-6,5,42.31,42.574788181652075,3.905047762345342,-0.2647881816520723,34.921035209546474,50.228541153757675
0-0-3-18-10,6,17.54,17.68041599988159,1.4551957705140686,-0.14041599988158993,14.828284699219001,20.532547300544177
0-0-3-18-11,4,11.15,12.561437334272203,1.3463791654588728,-1.4114373342722022,9.922582660437717,15.200292008106688
0-0-3-18-12,7,6.73,6.73837260365292,1.250306902687129,-0.008372603652919253,4.287816104764321,9.188929102541518
0-0-3-18-13,6,3.9,4.5666981397089685,1.112193460801071,-0.6666981397089686,2.386839012697909,6.746557266720028
0-0-3-18-14,1,1.89,4.902041376758454,1.597805456846256,-3.0120413767584546,1.7704002270382246,8.033682526478684
0-0-3-18-7,2,39.07,26.82786669484742,2.2435159471434867,12.242133305152581,22.430656239704916,31.22507714998992
0-0-3-18-9,1,25.3,25.425358996803336,1.7241489784655881,-0.1253589968033353,22.04608909502926,28.804628898577413
0-0-3-4-10,1,46.18,46.56350709816865,5.320457707824211,-0.3835070981686499,36.13560160956467,56.99141258677263
0-0-3-4-11,1,45.82,46.02209261815977,4.202654971990687,-0.2020926181597673,37.785040233609834,54.2591450027097
0-0-3-4-12,10,45.51,45.91011636491387,4.194172003565721,-0.40011636491387037,37.68969029295886,54.13054243686888
0-0-3-4-13,4,45.24,45.35417230514395,4.179786873925011,-0.11417230514394561,37.16194056919767,53.54640404109023
0-0-3-4-14,8,45.02,45.06367781585486,3.461747122165817,-0.043677815854856306,38.27877813282468,51.84857749888504
0-0-3-4-15,3,44.83,44.835566141719546,3.7715826283066987,-0.005566141719548057,37.4434000255215,52.227732257917594
0-0-3-4-16,4,44.69,44.736613086734046,4.047197729008502,-0.04661308673404818,36.80425129956508,52.66897487390301
0-0-3-4-17,2,44.58,44.064259794500806,4.655867611447516,0.515740205499192,34.93892695927715,53.189592629724466
0-0-3-4-9,5,46.59,46.536161870095874,6.750363102874279,0.05383812990412906,33.30569330589424,59.76663043429751
0-0-3-7-18,6,44.66,44.46290512719993,6.967581465809245,0.197094872800065,30.806696394865014,58.11911385953485
0-0-3-8-0,3,49.99,44.879508217634445,9.147733072807693,5.110491782365557,26.950280854745447,62.80873558052345
0-0-3-8-1,10,50.26,42.69238963168072,6.61049919626112,7.567610368319279,29.73604928717795,55.64872997618349
0-0-3-8-2,1,50.33,47.3393476652743,5.676526698962827,2.990652334725695,36.21355977802712,58.46513555252149
0-0-3-8-3,6,50.27,50.20132766953242,4.425912205790683,0.06867233046758514,41.52669914744645,58.875956191618386
0-0-3-8-4,1,50.07,49.5709248489304,4.807683791520505,0.4990751510695972,40.14803776849324,58.99381192936757
0-0-3-8-5,6,49.72,48.422429356890724,5.274088943732985,1.2975706431092746,38.08540497591318,58.75945373786827
0-0-3-8-6,7,49.25,49.016134999874836,4.27736359713424,0.23386500012516365,40.63265640070903,57.39961359904064
0-0-3-8-7,2,48.68,48.605424102290925,4.148005022433179,0.07457589770907447,40.475483650630636,56.735364553951214
0-0-4-10-0,7,49.14,49.51975078382682,4.58699912819572,-0.3797507838268217,40.52939769544658,58.51010387220706
0-0-4-10-1,2,49.17,49.32778320992986,3.3779662817034737,-0.1577832099298604,42.70709095680037,55.94847546305935
0-0-4-10-2,10,49.17,49.44608802578602,3.8988164544904875,-0.27608802578601654,41.80454819265252,57.08762785891952
0-0-4-10-3,7,49.13,48.93935394446731,3.8398630243025775,0.19064605553269587,41.4133607112672,56.46534717766741
0-0-4-10-4,8,49.04,49.27840748449061,4.432282952772432,-0.2384074844906081,40.591292527765795,57.96552244121542
0-0-4-13-10,9,46.25,46.204317001317264,2.996579921339121,0.04568299868273584,40.33112827869672,52.07750572393781
0-0-4-13-12,8,45.73,45.852381976202295,2.501061914182476,-0.1223819762022984,40.95039070129984,50.75437325110475
0-0-4-13-13,3,45.61,45.68704992825813,2.9389756242702254,-0.07704992825813406,39.92676355324737,51.4473363032689
0-0-4-13-5,5,46.98,47.004784130446446,4.97822383153793,-0.02478413044644867,37.24764471365311,56.76192354723978
0-0-4-13-6,9,46.95,47.09368140969964,3.6303108606126733,-0.1436814096996386,39.9784028702142,54.208959949185086
0-0-4-13-7,4,46.89,46.85792718931097,2.679684799227648,0.03207281068903001,41.605841492905334,52.11001288571661
0-0-4-13-8,1,46.75,46.77579186111797,3.529816398657269,-0.02579186111797327,39.85747884771085,53.694104874525095
0-0-4-13-9,2,46.53,46.53607768755386,3.374115206970682,-0.006077687553862177,39.92293340220242,53.14922197290531
0-0-4-16-14,7,42.82,43.79846460745039,3.330880092111293,-0.9784646074503911,37.270059590090796,50.32686962480999
0-0-4-16-15,1,43.15,44.142377150002886,2.0539660002439666,-0.9923771500028877,40.11667776405493,48.168076535950846
0-0-4-16-16,5,43.85,44.24489831406505,1.4914221772971061,-0.3948983140650455,41.32176456081841,47.168032067311685
0-0-4-16-17,1,44.82,44.74436362990401,1.2692431267178315,0.07563637009599233,42.25669281391205,47.23203444589596
0-0-4-16-18,3,45.89,44.63415276232069,1.7564897277765696,1.255847237679312,41.19149615666405,48.076809367977326
0-0-4-17-0,3,47.67,47.653522849988256,3.2673795917299246,0.016477150011745323,41.249576526376416,54.0574691736001
0-0-4-17-1,4,47.61,47.71605391763652,2.037496938085718,-0.1060539176365225,43.72263330037788,51.709474534895165
0-0-4-17-2,1,47.46,47.446642830122464,1.719624672503057,0.01335716987753699,44.07624040508999,50.81704525515494
0-0-4-17-3,8,47.28,46.951913940255096,2.069832177201463,0.3280860597449049,42.8951174188981,51.00871046161209
0-0-4-2-16,3,47.15,47.06133422620094,6.664534240003609,0.08866577379905749,33.99908714205985,60.12358131034203
0-0-4-2-17,2,47.11,46.43423754679776,6.972253696518587,0.675762453202239,32.76887141054507,60.099603683050454
0-0-4-2-18,4,47.07,43.07718521256747,11.925492883437174,3.992814787432529,19.703648663141887,66.45072176199305
0-0-4-3-0,2,50.6,49.58832140738197,5.382813946871803,1.0116785926180327,39.03819993603334,60.1384428787306
0-0-4-3-1,10,50.67,50.7734261531181,4.555453786039493,-0.10342615311810022,41.84490079924406,59.701951506992145
0-0-4-3-2,9,50.52,50.41006635083759,4.993660426259854,0.10993364916241433,40.62267176434534,60.197460937329836
0-0-4-3-3,9,50.21,50.21610739149851,6.143059406422546,-0.00610739149851014,38.17593220002032,62.2562825829767
0-0-4-3-4,6,49.81,49.62470008801987,4.6048828824763035,0.18529991198013107,40.59929548534133,58.65010469069841
0-0-4-3-5,3,49.35,49.270411281818006,4.581406277507729,0.07958871818199498,40.291019979357145,58.24980258427887
0-0-4-6-10,3,47.95,48.056955560312815,3.234188115171975,-0.10695556031281228,41.71806333534826,54.39584778527737
