candidate,angle_bin,R2,RMSE,MAE,corr2,n
legacy_angles_global_matern32,"[10,30)",-0.4835772940233358,3.2673063030761806,1.7481043164305037,0.6944818676293416,36
legacy_angles_global_matern32,"[30,50)",-0.22193391855477596,9.806174815452824,5.378188550227767,0.29795812098256114,52
legacy_angles_global_matern32,"[50,70]",-0.008471446392446014,15.122255077146418,8.55693255525179,0.11248309132280103,41
legacy_angles_global_matern32,"[-30,-10)",0.028048234877412814,7.3811921026775975,2.927220610633905,0.0931786288150902,24
legacy_angles_global_matern32,"[-10,10)",-6.493816746417508,11.636099207360642,7.837880901651897,0.8224641315629153,17
compact_axis_global_matern32,"[10,30)",-0.548575344614906,3.338112214140631,1.7820034672003895,0.6866850241648377,36
compact_axis_global_matern32,"[30,50)",-0.23157834006702127,9.844797608681835,5.395159996190831,0.2978102248650721,52
compact_axis_global_matern32,"[50,70]",-0.02597299598565228,15.25291047651015,8.59950431363278,0.10370076264208881,41
compact_axis_global_matern32,"[-30,-10)",0.021447139909441026,7.406214692942296,2.955692257881735,0.08425630222141561,24
compact_axis_global_matern32,"[-10,10)",-6.788126817065093,11.862395191998674,7.984842470283043,0.8205523988803316,17
compact_axis_global_rational_quadratic,"[10,30)",0.3803561416493799,2.1115717174251487,1.3655635404800224,0.7210275555763278,36
compact_axis_global_rational_quadratic,"[30,50)",0.2547023635720277,7.658445798951552,4.263643958715228,0.33975775520062446,52
compact_axis_global_rational_quadratic,"[50,70]",0.053537670668693194,14.649959454765977,8.209180988647104,0.2533400576538366,41
compact_axis_global_rational_quadratic,"[-30,-10)",-0.09098692886779136,7.820129152651245,3.405885271822047,0.0032860768717785376,24
compact_axis_global_rational_quadratic,"[-10,10)",-0.838184450485002,5.763023957390734,4.334532233645157,0.8309057532410921,17
axis_plus_environment_matern32,"[10,30)",-0.3237823208734132,3.0863349013886574,1.736443898264123,0.8400529047995402,36
axis_plus_environment_matern32,"[30,50)",-0.3921220582362501,10.46681211878938,6.835198896863009,0.29225315223502635,52
axis_plus_environment_matern32,"[50,70]",-0.47443228024489237,18.285092911564792,13.874730894813192,0.009566849755871694,41
axis_plus_environment_matern32,"[-30,-10)",-0.09229284119580883,7.82480810368209,3.293559088446774,0.013768601690250829,24
axis_plus_environment_matern32,"[-10,10)",-7.660356609719628,12.509033877577357,8.808766604484257,0.8023141362735925,17
axis_environment_interaction_matern32,"[10,30)",0.7796872931025554,1.2590835065427295,1.056753935844406,0.8827441090889987,36
axis_environment_interaction_matern32,"[30,50)",0.18214437559566587,8.022580682173539,5.1088788077337615,0.2509941182895648,52
axis_environment_interaction_matern32,"[50,70]",0.3284574716366826,12.34018063562334,9.328568207449022,0.35087612932973106,41
axis_environment_interaction_matern32,"[-30,-10)",0.1599243226104059,6.862199777545881,3.6765971125181913,0.16010370681755184,24
axis_environment_interaction_matern32,"[-10,10)",0.05882632666976362,4.123735165379581,2.9754595252560527,0.9075391290875928,17
moe_matern32_matern12_gate40,"[10,30)",-0.06703708465489444,2.770923388310867,1.5467237885951972,0.7804976494611182,36
moe_matern32_matern12_gate40,"[30,50)",-0.1447428734044529,9.49138839340257,6.041590605491878,0.10141166582430917,52
moe_matern32_matern12_gate40,"[50,70]",0.49453720030538584,10.706052173378005,7.199799437149199,0.6357372663421379,41
moe_matern32_matern12_gate40,"[-30,-10)",0.3273255240895919,6.140540873589527,2.2706039806712868,0.5861479690408182,24
moe_matern32_matern12_gate40,"[-10,10)",-5.738267195474818,11.033924173523607,7.456021704109816,0.8008207647187239,17
moe_matern32_rf_gate40,"[10,30)",-0.0744342422134674,2.7805114131146396,1.5541330765234185,0.7765427354365195,36
moe_matern32_rf_gate40,"[30,50)",-0.4797268256590981,10.791120562229025,5.7443215458492825,0.31454484644225755,52
moe_matern32_rf_gate40,"[50,70]",0.6225203379249402,9.251912888407919,5.525814634146381,0.7083599240496518,41
moe_matern32_rf_gate40,"[-30,-10)",0.3265918724010445,6.143888548180197,2.2752758251062652,0.5825849871180093,24
moe_matern32_rf_gate40,"[-10,10)",-5.725125630902926,11.023159254943128,7.4505419911020745,0.8006790238330983,17
