angle_view,angle_bin,model,method_type,kernel_family,n,y_mean,y_std,R2_within_bin,RMSE,MAE,bias_y_minus_pred,coverage_95,mean_pred_std,rank_RMSE_within_angle_bin,rank_MAE_within_angle_bin,SSE,SSE_share_within_view_model
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_matern32,GPR,matern,36,47.94027777777778,2.720520418818125,0.8536997958194299,1.0260233105319558,0.4989116533280888,0.0926841148622124,1.0,3.6360813966908307,1.0,1.0,37.89805801517835,0.03287354059710111
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_matern32,GPR,matern,52,42.57557692307692,8.957614224882088,0.9607220534109839,1.7581266565785583,0.9310083770919793,0.1695701364378281,0.9807692307692307,3.079210999904535,1.0,1.0,160.7324857097492,0.13942260292430314
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_matern32,GPR,matern,41,38.25585365853659,15.24567610432705,0.9263046241049385,4.087943412254814,2.3293535120920175,-0.5474413061653808,0.8292682926829268,2.8603835762207805,6.0,5.0,685.1625350136989,0.5943238147285723
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_matern32,GPR,matern,24,46.0975,7.647964349789569,0.8300664585990365,3.0863395637310864,0.9949375432028122,-0.9136521241418207,1.0,4.48372269464443,4.0,2.0,228.611805663643,0.1983024953798544
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_matern32,GPR,matern,17,45.79352941176471,4.3814751242824475,0.8683445024507349,1.5423231606697378,0.9909600042081308,0.9186118317643147,1.0,4.777195432434924,4.0,4.0,40.438932442950936,0.03507754637016909
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,36,47.94027777777778,2.720520418818125,0.8147088839658648,1.1546811077961032,0.5562751434773983,0.10970416679885847,1.0,3.3792319146842362,4.0,4.0,47.9983845852445,0.0414036870002787
molecular_axis,"[30,50)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,52,42.57557692307692,8.957614224882088,0.9562303170358221,1.8559337590203964,0.960315491366199,0.22914478812332872,0.9807692307692307,2.72646550815363,4.0,3.0,179.1134861293221,0.15450433970452834
molecular_axis,"[50,70]",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,41,38.25585365853659,15.24567610432705,0.9269418493163636,4.070231336591357,2.368876292601066,-0.5264698569825854,0.7804878048780488,2.672150509392367,4.0,6.0,679.2381084681808,0.5859147611880958
molecular_axis,"[-30,-10)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,24,46.0975,7.647964349789569,0.8304442349834031,3.0829070603188664,1.1201055834376648,-0.9798545341674313,0.9583333333333334,4.261612312735644,3.0,4.0,228.10358262153397,0.19676348319038112
molecular_axis,"[-10,10)",base_cyclic_xproc_pca8_rbf_iso,GPR,rbf,17,45.79352941176471,4.3814751242824475,0.9191799301309528,1.2084132866735655,0.7673816538507419,0.6519039657310268,1.0,4.6326495779103345,2.0,2.0,24.82446541395655,0.0214137289167159
molecular_axis,"[10,30)",base_cyclic_xproc_pca8_rational_quadratic,GPR,rational_quadratic,36,47.94027777777778,2.720520418818125,0.8275570371694394,1.113928972224553,0.528103645790637,0.25841531697275794,1.0,3.8263472898526234,3.0,3.0,44.670159185804955,0.038220760993256574
