token_position,token_value,n,y_mean,y_std,axis_angle_deg_mean,axis_angle_deg_std,axis_abs_elevation_deg_proxy_mean,axis_abs_elevation_deg_proxy_std,antiparallel_deviation_deg_mean,antiparallel_deviation_deg_std,Mg_H3_count_d5_mean,Mg_H3_count_d5_std,O_H3_count_d5_mean,O_H3_count_d5_std,Mg_H6_count_d5_mean,Mg_H6_count_d5_std,O_H6_count_d5_mean,O_H6_count_d5_std,first_Mg_H3_d5_mean,first_Mg_H3_d5_std,first_O_H3_d5_mean,first_O_H3_d5_std
3,2,30,33.285333333333334,13.273596745973286,29.169393537988938,21.709388940367017,19.29480009032413,15.536499388739701,0.3043035521083136,0.22775780786076955,6.066666666666666,3.3726417900035215,5.433333333333334,3.081461065606797,11.733333333333333,0.8276819867946673,11.8,1.2429109325317307,3.4866666666666664,1.0633335134940214,3.4850000000000003,0.8113579506838711
3,3,49,41.671836734693876,12.1462579411434,24.56136239522242,29.423483890903007,23.34500069318183,20.52098220634252,0.3544475556519432,0.3010893209926814,2.5714285714285716,2.457980200625437,2.673469387755102,2.6251012290167086,7.346938775510204,1.5619301682021949,7.387755102040816,1.411505203240679,4.608163265306123,1.1144574043553432,4.655102040816327,1.154260445857324
3,4,44,47.526136363636354,1.8403301219391872,30.147618349520098,24.1658655880508,23.600404288900446,21.80996993600325,0.43485900762837654,0.5503668648161385,0.9090909090909091,1.1577480510382536,0.8863636363636364,1.2240973720751764,4.045454545454546,1.1604839699011198,4.613636363636363,1.061282880793589,5.296590909090909,0.7495268063277026,5.388636363636364,0.7710505998208833
3,5,47,48.11638297872341,1.3879378283468435,29.145330055844735,28.648062561122735,22.644039692405368,21.750426329296314,0.3836676263100124,0.3452379253466923,0.02127659574468085,0.14586499149789456,0.0,0.0,1.2553191489361701,1.2418094285353367,1.0425531914893618,0.8836054305467834,5.9787234042553195,0.14586499149789459,6.0,0.0
4,1,16,47.603125000000006,0.6136417929052743,-22.382485057273577,0.5939580056732506,25.04781494883895,13.904271324203169,0.04601634376523921,0.02215279650419743,1.375,2.1252450839060106,1.5,2.0,4.0625,1.8427786989579984,4.75,3.2145502536643185,5.090625,1.1492343465687636,5.3125,0.9764732459212593
4,2,3,47.10999999999999,0.03999999999999915,30.489385537743033,20.307002166757243,77.86218404601334,2.7094434650697403,2.147470308502225,0.8574641375482673,0.0,0.0,0.0,0.0,6.0,0.0,6.333333333333333,0.5773502691896258,6.0,0.0,6.0,0.0
4,3,8,43.08625,13.260259572443198,-12.665267756052643,0.398581053683172,8.843563498237955,8.026770866390297,0.04064849960406999,0.024163860178856793,3.375,4.240535680446853,3.375,4.033343171967536,5.625,3.020761493398643,6.375,4.172614801981401,4.31875,1.4451736178446817,4.60625,1.4079969308002263
4,4,15,46.232666666666674,1.1984005213299138,20.97619137092827,17.599093497802755,59.72985352577435,9.40694418636408,0.8198640711268833,0.4262855112951633,0.0,0.0,0.0,0.0,6.533333333333333,3.461351236287988,6.2,3.5496478698597693,6.0,0.0,6.0,0.0
4,5,3,52.13666666666666,0.15373136743466978,-2.87152088121775,0.08814905768933327,3.985919960770385,3.0787809962091437,0.03473942446348699,0.01910929974678404,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5773502691896258,6.0,0.0,6.0,0.0
4,6,17,44.75176470588235,4.071504997071288,10.037463397916984,7.6262601345649825,31.351894015401264,13.516751481053252,0.2820285434225874,0.18026056256354273,2.235294117647059,2.6107808162670865,2.4705882352941178,3.184290483349932,7.823529411764706,3.778810892953745,8.705882352941176,3.216455850045842,4.991176470588235,1.180073527120986,4.814705882352941,1.3502042329174633
4,7,1,44.66,,58.88636122473616,,55.397222519952116,,0.902207274584633,,0.0,,0.0,,9.0,,9.0,,6.0,,6.0,
4,8,15,49.64000000000001,0.7920497819852332,15.108413735011746,3.3245822999249324,16.86209045226086,10.1580268004854,0.1738282581500391,0.10556086365816657,1.8666666666666667,1.9223002094465094,2.0,2.5634797778466227,4.133333333333334,2.8999178970315365,4.266666666666667,2.8652266593628872,5.003333333333333,1.0499092931341847,4.846666666666667,1.1876547518213403
