model,kernel_family,fold,R2,RMSE,MAE,rank_RMSE_within_fold
base_cyclic_xproc_pca8_rbf_ard,rbf,6,0.9653406782679917,2.5649323358297123,0.9722028380799536,3.0
base_cyclic_xproc_pca8_rbf_ard,rbf,7,0.8233478521227118,4.807901154425291,1.711007887379686,6.0
base_cyclic_xproc_pca8_rbf_ard,rbf,8,0.7365343161792521,5.274801195360241,1.9138413112500956,6.0
base_cyclic_xproc_pca8_rbf_ard,rbf,9,-0.4087904344313875,3.9033682903925295,1.4231333182823995,6.0
base_cyclic_xproc_pca8_rbf_ard,rbf,10,0.9887630612646932,0.9659761839519091,0.30798739895725025,4.0
base_cyclic_xproc_pca8_linear,linear,1,0.8477927130370083,4.502382089777136,2.659508206128903,7.0
base_cyclic_xproc_pca8_linear,linear,2,0.1296134771113242,6.545744583589384,3.8780047129271025,7.0
base_cyclic_xproc_pca8_linear,linear,3,0.7946104029613013,3.6248355093577063,2.9438067963191785,7.0
base_cyclic_xproc_pca8_linear,linear,4,0.7187257322422358,7.621193763230987,3.9640563562809725,7.0
base_cyclic_xproc_pca8_linear,linear,5,-1.583902793443558,4.971653342303491,3.6405988842921753,7.0
base_cyclic_xproc_pca8_linear,linear,6,0.807569833249959,6.04369391243202,4.5227817173644675,7.0
base_cyclic_xproc_pca8_linear,linear,7,0.7668275188080561,5.523758925416422,4.251193547364795,7.0
base_cyclic_xproc_pca8_linear,linear,8,0.4616764077243105,7.5399032690452765,4.787942523974612,7.0
base_cyclic_xproc_pca8_linear,linear,9,-0.42710486943555304,3.9286584766359094,2.689205899053409,7.0
base_cyclic_xproc_pca8_linear,linear,10,0.42468108801371407,6.911888724571673,3.6437825080643207,7.0
