model,x,y,pred_mean,pred_std,lower_95,upper_95,lower_confidence_bound
dist_auto_full_xmat_rbf_ard_original,0.0,0.0,0.4711054550819335,0.00017012970784781222,0.4707720069818515,0.47143890318201553,0.4707720069818515
dist_auto_full_xmat_rbf_ard_original,0.0,0.06206896551724138,0.4710016192115881,0.00017396820016040728,0.4706606478048185,0.47134259061835776,0.4706606478048185
dist_auto_full_xmat_rbf_ard_original,0.0,0.12413793103448276,0.4708846940256409,0.00018579289138089138,0.4705205466499508,0.47124884140133105,0.4705205466499508
dist_auto_full_xmat_rbf_ard_original,0.0,0.18620689655172412,0.4707589561004537,0.00020639570182436325,0.4703544279583141,0.4711634842425933,0.4703544279583141
dist_auto_full_xmat_rbf_ard_original,0.0,0.2482758620689655,0.470629188293302,0.00023683382935355793,0.47016500251744836,0.4710933740691557,0.47016500251744836
dist_auto_full_xmat_rbf_ard_original,0.0,0.3103448275862069,0.47050051497039636,0.0002775734113127298,0.4699564810811575,0.4710445488596352,0.4699564810811575
dist_auto_full_xmat_rbf_ard_original,0.0,0.37241379310344824,0.4703782195616471,0.00032867213204097897,0.4697340340201248,0.4710224051031694,0.4697340340201248
dist_auto_full_xmat_rbf_ard_original,0.0,0.43448275862068964,0.4702675507806048,0.0003902546810098037,0.4695026656610274,0.4710324359001822,0.4695026656610274
dist_auto_full_xmat_rbf_ard_original,0.0,0.496551724137931,0.4701735244820952,0.0004627978270716959,0.46926645740891126,0.47108059155527915,0.46926645740891126
dist_auto_full_xmat_rbf_ard_original,0.0,0.5586206896551724,0.47010072857311985,0.000547162660077098,0.46902830946568363,0.47117314768055607,0.46902830946568363
dist_auto_full_xmat_rbf_ard_original,0.0,0.6206896551724138,0.47005313859658876,0.000644472246173264,0.4687899962050535,0.471316280988124,0.4687899962050535
dist_auto_full_xmat_rbf_ard_original,0.0,0.6827586206896552,0.4700243670550394,0.0015240362819419749,0.4670373108313008,0.47301142327877804,0.4670373108313008
dist_auto_full_xmat_rbf_ard_original,0.0,0.7448275862068965,0.4700358889496225,0.0015829330249511376,0.46693339723077926,0.47313838066846575,0.46693339723077926
dist_auto_full_xmat_rbf_ard_original,0.0,0.8068965517241379,0.4700790952775565,0.0016592546515410587,0.46682701591935544,0.4733311746357575,0.46682701591935544
dist_auto_full_xmat_rbf_ard_original,0.0,0.8689655172413793,0.47015414197587974,0.0017550195327589156,0.46671436689950796,0.4735939170522515,0.46671436689950796
dist_auto_full_xmat_rbf_ard_original,0.0,0.9310344827586207,0.47019486135565014,0.003619986530624344,0.46309981813110634,0.47728990458019394,0.46309981813110634
dist_auto_full_xmat_rbf_ard_original,0.0,0.993103448275862,0.47032428004761234,0.0036728816950315994,0.463125564205874,0.4775229958893507,0.463125564205874
dist_auto_full_xmat_rbf_ard_original,0.0,1.0551724137931033,0.4704777395535764,0.0037474811181396938,0.4631328115292787,0.4778226675778741,0.4631328115292787
dist_auto_full_xmat_rbf_ard_original,0.0,1.1172413793103448,0.4706525603561326,0.0038325931545247645,0.46314081580586935,0.4781643049063959,0.46314081580586935
dist_auto_full_xmat_rbf_ard_original,0.0,1.1793103448275861,0.47073395825168207,0.005065606210540161,0.46080555251916094,0.4806623639842032,0.46080555251916094
dist_auto_full_xmat_rbf_ard_original,0.0,1.2413793103448276,0.47092355334105823,0.005159255135004696,0.4608115990893957,0.4810355075927208,0.4608115990893957
dist_auto_full_xmat_rbf_ard_original,0.0,1.303448275862069,0.4711070307801283,0.005340152089005842,0.4606405250137105,0.48157353654654605,0.4606405250137105
dist_auto_full_xmat_rbf_ard_original,0.0,1.3655172413793104,0.4712578687880212,0.0056999071337371305,0.46008625609067344,0.4824294814853689,0.46008625609067344
dist_auto_full_xmat_rbf_ard_original,0.0,1.4275862068965517,0.47143904542493,0.00582359817835364,0.4600250027349238,0.48285308811493616,0.4600250027349238
dist_auto_full_xmat_rbf_ard_original,0.0,1.489655172413793,0.4716076369828588,0.005958869341160248,0.4599284676856048,0.4832868062801128,0.4599284676856048
dist_auto_full_xmat_rbf_ard_original,0.0,1.5517241379310345,0.47140391936966536,0.007408471912766637,0.4568835812401662,0.4859242574991645,0.4568835812401662
dist_auto_full_xmat_rbf_ard_original,0.0,1.6137931034482758,0.47152902820712617,0.0075172884862489756,0.45679541351268055,0.4862626429015718,0.45679541351268055
dist_auto_full_xmat_rbf_ard_original,0.0,1.6758620689655173,0.4716326874069296,0.007631475996286077,0.456675269305327,0.4865901055085322,0.456675269305327
dist_auto_full_xmat_rbf_ard_original,0.0,1.7379310344827585,0.47104804901762615,0.009099546135073504,0.4532132663172214,0.4888828317180309,0.4532132663172214
dist_auto_full_xmat_rbf_ard_original,0.0,1.8,0.4711000268440561,0.009165073205823993,0.45313681344496803,0.4890632402431442,0.45313681344496803
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.0,0.4710191697842014,0.0001557817800050943,0.4707138431059439,0.4713244964624589,0.4707138431059439
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.06206896551724138,0.47090196452267935,0.00015635459389337213,0.47059551514983095,0.47120841389552776,0.47059551514983095
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.12413793103448276,0.47077585686420625,0.00016250375315580285,0.4704573553606683,0.4710943583677442,0.4704573553606683
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.18620689655172412,0.4706452308920804,0.00017530323424220056,0.47030164286659226,0.4709888189175685,0.47030164286659226
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.2482758620689655,0.4705148770040704,0.00019655785455822505,0.4701296306882578,0.470900123319883,0.4701296306882578
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.3103448275862069,0.47038982417927816,0.00022747551879520345,0.469943980355075,0.4708356680034813,0.469943980355075
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.37241379310344824,0.4702751564692768,0.00026856622747468143,0.4697487763359626,0.470801536602591,0.4697487763359626
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.43448275862068964,0.47017582035797856,0.0003201744490201773,0.46954828996912906,0.47080335074682805,0.46954828996912906
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.496551724137931,0.4700964302736667,0.0003829192543029135,0.46934592232624606,0.47084693822108736,0.46934592232624606
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.5586206896551724,0.47004107994531225,0.0004578079958113651,0.4691437927616875,0.470938367128937,0.4691437927616875
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.6206896551724138,0.4700131674224279,0.0005461204893007957,0.46894279093217894,0.4710835439126768,0.46894279093217894
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.6827586206896552,0.470015241376696,0.0006492080492943461,0.4687428169816056,0.4712876657717864,0.4687428169816056
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.7448275862068965,0.47004887574063,0.0007683022318780638,0.46854303103690725,0.4715547204443527,0.46854303103690725
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.8068965517241379,0.4701046734617634,0.0015848898838693303,0.4669983463699176,0.47321100055360915,0.4669983463699176
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.8689655172413793,0.47020122452722996,0.0016698662547661213,0.46692834680888956,0.47347410224557035,0.46692834680888956
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.9310344827586207,0.4703272943270405,0.001776246782615814,0.4668459146054584,0.47380867404862265,0.4668459146054584
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,0.993103448275862,0.4704800840527791,0.0019051561183299813,0.4667460466759262,0.474214121429632,0.4667460466759262
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,1.0551724137931033,0.47057503838708287,0.0036752916937546794,0.4633715990346445,0.47777847773952126,0.4633715990346445
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,1.1172413793103448,0.47076144800519276,0.003753540626588583,0.4634046435625712,0.4781182524478143,0.4634046435625712
dist_auto_full_xmat_rbf_ard_original,0.06206896551724138,1.1793103448275861,0.47095966062962485,0.0038556864701867915,0.4634026540123804,0.4785166672468693,0.4634026540123804
