token_position,column,n_unique,observed_values,is_constant,spearman_vs_axis_angle_deg,spearman_vs_axis_abs_elevation_deg_proxy,spearman_vs_antiparallel_deviation_deg,spearman_vs_y,spearman_vs_Mg_H3_count_d5,spearman_vs_O_H3_count_d5,spearman_vs_Mg_H6_count_d5,spearman_vs_O_H6_count_d5,spearman_vs_first_Mg_H3_d5,spearman_vs_first_O_H3_d5
1,token_1,1,0,True,,,,,,,,,,
2,token_2,1,0,True,,,,,,,,,,
3,token_3,4,2|3|4|5,False,0.07857549626469744,-0.010296948184832334,0.05074675373347183,0.6808649822460081,-0.7248364407339956,-0.7175103190987421,-0.9421040827037814,-0.9514369772249226,0.7094584146139727,0.7257340098018539
4,token_4,18,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,False,0.859178604561216,-0.5784269512982422,0.24583634147848862,-0.35277208391067866,0.2486249221456814,0.2248390520086068,-0.10943069344601945,-0.17730556572127432,-0.2370376521753857,-0.24249343349346644
5,token_5,19,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,False,0.5465487081838644,0.5553950931715004,0.9426982192900717,-0.29259809677891613,-0.4343156802887499,-0.40502398594792727,0.10419021804042954,0.053219212036114925,0.45755423089253305,0.3987293958329872
