candidate,kind,threshold_deg,high_expert,group_scheme,outer_splits,R2,RMSE,MAE,corr2,n,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,NLPD
axis_environment_interaction_matern32,structured_gp,,,trajectory,5,0.4655446436197286,7.403375402869559,4.513587905971759,0.4738706061496038,170,0.6882352941176471,9.200961791132297,0.8058823529411765,17.4821144198466,0.8411764705882353,22.43805094026436,0.8823529411764706,26.736586773195427,4.055604299608981
moe_matern32_matern12_gate40,mixture,40.0,matern12,trajectory,5,0.4090674257817908,7.7847204195106325,4.698969101759109,0.4127210687299125,170,0.7352941176470589,9.307868652010004,0.8235294117647058,17.685240790388857,0.8705882352941177,22.698760814372275,0.8764705882352941,27.047241748989546,4.002421733724538
compact_axis_global_rational_quadratic,compact_gp,,,trajectory,5,0.18014131859642812,9.169455656019451,5.06661421336914,0.22032760298511797,170,0.7411764705882353,10.036970578200474,0.8647058823529412,19.070557193906254,0.8823529411764706,24.47679516902786,0.888235294117647,29.16590035866697,6.994359487343957
compact_axis_global_matern12,compact_gp,,,trajectory,5,0.17309243831013543,9.208789302346874,4.934554020016027,0.23227851029609167,170,0.7176470588235294,9.005684113089114,0.8294117647058824,17.111080740032484,0.8588235294117647,21.961834367812944,0.8941176470588236,26.169139727724414,5.726462364086827
moe_matern32_rf_gate40,mixture,40.0,rf,trajectory,5,0.07977135026193904,9.71453304226176,4.946966848633201,0.20935869409325514,170,,,,,,,,,
legacy_angles_global_matern32,legacy_gp,,,trajectory,5,0.0226650219279948,10.011422177363558,5.693013221486938,0.18056193197000364,170,0.7352941176470589,11.86802305265861,0.8647058823529412,22.549614013604344,0.9,28.942116254893676,0.9058823529411765,34.486658609919246,6.304657345031208
compact_axis_global_matern32,compact_gp,,,trajectory,5,0.015115451848892292,10.050015154730149,5.689243699163041,0.17670567366086568,170,0.7352941176470589,11.759113409341571,0.8647058823529412,22.342682293952144,0.9,28.676522268079285,0.9058823529411765,34.17018385487894,6.470437104047653
moe_matern32_rf_gate50,mixture,50.0,rf,trajectory,5,-0.07028357283973818,10.476675309804058,5.82798715024659,0.16095620339724387,170,,,,,,,,,
moe_matern32_matern12_gate45,mixture,45.0,matern12,trajectory,5,-0.19943647813388576,11.09079508041493,6.416767829561469,0.06614849980389516,170,0.6529411764705882,9.310847802900303,0.7764705882352941,17.69090127001267,0.8117647058823529,22.706025961315888,0.8294117647058824,27.05589870552268,7.435413116387916
moe_matern32_matern12_gate50,mixture,50.0,matern12,trajectory,5,-0.19958445397801405,11.091479201324569,6.604453199422948,0.08544990995542226,170,0.6176470588235294,8.231221421579829,0.7470588235294118,15.639577467416293,0.7941176470588235,20.07318036425349,0.8294117647058824,23.91866967641989,6.4309793548319165
axis_plus_environment_matern32,structured_gp,,,trajectory,5,-0.39710878965532403,11.969862653567938,7.356409650673021,0.13766900564874934,170,0.5941176470588235,8.64183414103103,0.6941176470588235,16.41975444311123,0.7647058823529411,21.074526671836917,0.788235294117647,25.111847395554157,6.709075659213938
moe_matern32_rf_gate45,mixture,45.0,rf,trajectory,5,-0.4568261093213104,12.223002845589683,6.876618737198428,0.049717346784980854,170,,,,,,,,,
