axis_angle_deg,surface_feature_value,pred_mean,pred_std,interval_width_95,lower_95,upper_95,surface_feature,surface_feature_label,grid_kind,reference_file_key,reference_tilt_deg_proxy,reference_deviation_deg
-22.94530541122073,0.0,40.0838468700932,11.192554746895658,43.87400839781662,18.14684267118489,62.02085106900151,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-21.267607162024042,0.0,40.07210335040531,11.122946614830063,43.60114953405727,18.27152858337667,61.87267811743394,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-19.589908912827354,0.0,40.07517454265397,11.056405881213461,43.34031465127045,18.405017217018745,61.74533186828919,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-17.91221066363067,0.0,40.094437589584174,10.99229679985155,43.08901167016786,18.549931754500246,61.6389434246681,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-16.234512414433983,0.0,40.13020373021487,10.929970511910227,42.84469711085772,18.707855174786012,61.552552285643735,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-14.556814165237295,0.0,40.1815819847576,10.868798153944894,42.60490587393484,18.87912904779018,61.48403492172502,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-12.87911591604061,0.0,40.246462603357216,10.808193604823002,42.36734040677844,19.062792399967996,61.430132806746435,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-11.201417666843923,0.0,40.32161206509127,10.747631057332004,42.129939582989735,19.256642273596405,61.38658185658614,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-9.523719417647236,0.0,40.40285430376284,10.686660910444445,41.890940998926276,19.4573838042997,61.34832480322598,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
-7.846021168450548,0.0,40.48530420031259,10.624924785483493,41.64893983598921,19.660834282317985,61.309774118307196,axis_tilt_deg,absolute out-of-plane tilt proxy (degree),axis_tilt,0-0-3-18-10,0.8492583576581294,0.40248610421612435
